역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,22373477,1821053,1676668,1871525,1825969,1894286,1769071,1805520,1834079,1739357,1982564,1996740,2156645
150,서울역(1),하차,19392293,1529367,1421072,1604786,1600585,1648188,1549544,1584614,1574084,1525529,1751241,1751050,1852233
151,시청(1),승차,8333347,664280,593139,690364,684525,698634,723630,680318,703174,635316,727570,755203,777194
151,시청(1),하차,8501372,666176,594058,703162,700687,716313,751818,696255,709507,641405,756230,781772,783989
152,종각,승차,18046837,1609753,1411233,1578419,1499369,1508802,1403684,1584879,1540393,1312492,1467862,1537944,1592007
152,종각,하차,17425855,1538992,1361516,1518992,1439581,1433486,1377632,1562013,1491421,1267885,1418187,1463413,1552737
153,종로3가(1),승차,13769153,1198332,1069316,1190009,1158033,1193935,1112182,1214446,1126164,1011287,1184799,1153548,1157102
153,종로3가(1),하차,13372640,1192327,1045715,1153717,1116928,1144594,1070479,1210697,1108805,976217,1128057,1098596,1126508
154,종로5가,승차,9386959,764754,703336,852674,831937,801543,767512,782345,719788,692866,828990,801811,839403
154,종로5가,하차,9584738,764545,714060,863474,845511,818617,785283,802420,737759,708768,856814,825794,861693
155,동대문(1),승차,6151501,497178,449800,535174,525471,545722,512244,513173,474759,478758,549907,521953,547362
155,동대문(1),하차,7075315,565936,522812,606926,596963,636263,581761,588544,550459,548047,639850,604674,633080
156,신설동(1),승차,6517194,513413,464218,580553,568040,551649,545840,549660,514602,505171,585263,566549,572236
156,신설동(1),하차,6351335,494050,448079,571331,560117,541426,537136,537146,502768,487026,570586,549117,552553
157,제기동,승차,7073053,532699,517912,609810,607488,598023,585927,593379,551119,600084,649571,614397,612644
157,제기동,하차,7371757,565811,547198,634041,630890,619145,609092,615613,570321,631593,675365,640829,631859
158,청량리,승차,13355371,1103788,1012579,1155385,1135995,1192931,1109067,1115383,1117353,1051331,1143703,1096941,1120915
158,청량리,하차,13317835,1101712,1007616,1155523,1131425,1190977,1111157,1128409,1140659,1034323,1124738,1081886,1109410
159,동묘앞(1),승차,2843316,210425,192907,252987,256903,264001,241852,235440,210551,222672,266181,249709,239688
159,동묘앞(1),하차,3079108,227447,209383,272895,278787,287740,261990,254881,228286,240737,286271,268942,261749
201,시청(2),승차,9013085,748622,668393,788904,765234,724818,764280,744611,741682,662371,756044,792303,855823
201,시청(2),하차,9557181,796595,708045,833334,808548,775292,835940,790686,776135,695664,805850,844038,887054
202,을지로입구,승차,18076590,1531025,1366318,1551234,1510867,1494832,1463144,1510421,1463217,1373393,1540219,1543269,1728651
202,을지로입구,하차,18497648,1573349,1397833,1604674,1555810,1526346,1499639,1548141,1476438,1410703,1577684,1581823,1745208
203,을지로3가(2),승차,5750242,476613,428172,511303,495438,471989,477692,481909,455975,428557,495198,503688,523708
203,을지로3가(2),하차,5881938,492704,440094,521770,509516,486673,489359,494199,463873,435272,506116,510678,531684
204,을지로4가(2),승차,4742968,395920,364881,422795,411994,394583,396251,400363,371778,359741,403356,402610,418696
204,을지로4가(2),하차,4766162,400823,374274,431077,415294,396959,396244,400266,366669,357781,403056,405721,417998
205,동대문역사문화공원(2),승차,6013609,481822,445484,518747,519378,542441,501379,513568,461683,456328,538122,504301,530356
205,동대문역사문화공원(2),하차,7001105,567071,522618,613895,601613,629124,582188,592371,531759,528425,626614,590895,614532
206,신당(2),승차,4867300,398164,356017,430729,418708,417402,401645,403596,378483,374447,432653,420225,435231
206,신당(2),하차,5222818,429763,380542,462848,450746,449962,429346,431191,407657,398991,465542,449729,466501
207,상왕십리,승차,3509040,289380,256535,316650,308110,298713,293599,291275,270680,268342,305559,297988,312209
207,상왕십리,하차,3314100,278197,244937,300659,292741,283018,276270,273310,255608,250927,286036,279228,293169
208,왕십리(2),승차,6733783,532442,474289,610248,571679,587104,553055,549335,525637,530763,593290,596054,609887
208,왕십리(2),하차,5422856,445472,393494,476256,454606,464539,446439,454497,438286,418450,468347,468277,494193
209,한양대,승차,4876354,296797,252946,527677,510620,497016,420717,303606,282422,410628,474334,500406,399185
209,한양대,하차,5573809,328307,289272,609691,577102,574074,477231,340603,318401,479866,549616,576153,453493
