역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
221,역삼,승차,13735236,1385973,1248366,1031777,1053283,1113799,1221441,1321431,1089101,996460,1087241,1180799,1005565
221,역삼,하차,15188410,1534563,1382745,1139286,1166026,1233503,1359450,1472146,1206040,1096748,1212784,1304362,1080757
222,강남,승차,25878376,2963094,2428836,1885641,2025530,2160700,2252161,2558732,2060389,1678626,2084264,2168637,1611766
222,강남,하차,26159172,3029152,2476898,1909749,2049417,2183353,2270776,2596694,2084371,1682782,2120075,2182300,1573605
223,교대(2),승차,9809559,1009373,857411,721551,744877,822926,887742,946195,769594,706187,805245,853339,685119
223,교대(2),하차,11046090,1146994,963776,803950,835098,930569,1002580,1069259,864753,795134,912855,961494,759628
224,서초,승차,6204888,629975,554293,430989,452268,524993,576241,584336,480334,444195,518780,567742,440742
224,서초,하차,6106712,620356,548564,427390,444665,518007,572873,573106,470878,435789,509417,552762,432905
225,방배,승차,4953542,504346,424331,348702,371623,415060,445494,461440,380506,366046,434098,456258,345638
225,방배,하차,5113097,519032,438440,360034,381788,427808,459151,475409,393719,376233,448752,474086,358645
226,사당(2),승차,11513587,1233298,1010726,823882,891713,986838,1016413,1090874,898385,817344,990509,993845,759760
226,사당(2),하차,12652771,1348869,1101241,895519,978601,1090776,1118000,1208866,989084,887717,1102389,1105329,826380
227,낙성대,승차,8429891,837761,725193,615226,655154,711980,741596,787115,674312,635618,717508,728189,600239
227,낙성대,하차,8065528,808256,696473,591175,622257,680460,706696,747247,643337,599488,687062,699485,583592
228,서울대입구,승차,14725229,1495580,1291275,1082229,1143541,1249195,1293143,1383200,1175855,1080173,1249937,1259318,1021783
228,서울대입구,하차,14332690,1453247,1253879,1052282,1115430,1223528,1257572,1348355,1143132,1035970,1222938,1230805,995552
229,봉천,승차,7393950,723191,637048,545270,577256,626550,646622,680196,592925,564025,625612,636569,538686
229,봉천,하차,6805881,669437,590090,506046,529847,577752,591473,619992,545158,515434,571768,582927,505957
230,신림,승차,19815030,2007494,1740631,1503541,1569228,1677263,1711413,1790988,1572311,1477141,1656831,1684516,1423673
230,신림,하차,19112864,1953969,1690223,1453590,1502330,1613418,1643386,1725820,1515696,1404935,1600633,1623224,1385640
231,신대방,승차,8217550,825584,702756,609246,644427,697277,714192,746479,654188,626148,696981,700518,599754
231,신대방,하차,7876622,787568,671882,585410,614583,668051,683053,713971,624728,596176,669075,675001,587124
232,구로디지털단지,승차,17953519,1821301,1579306,1334194,1387566,1482058,1568567,1667566,1414592,1333677,1508321,1559464,1296907
232,구로디지털단지,하차,17963056,1823059,1585263,1338002,1384647,1479524,1565705,1667017,1416589,1326158,1507161,1561517,1308414
233,대림(2),승차,7784432,823110,643635,544258,590348,661163,674111,708309,621525,597635,675817,674926,569595
233,대림(2),하차,7931652,846302,649113,550335,600278,675101,685116,721454,633846,608817,689167,687806,584317
234,신도림,승차,15305474,1647136,1364694,1047010,1157876,1299285,1342058,1439502,1219846,1111613,1293542,1317811,1065101
234,신도림,하차,15078842,1633772,1350686,1025549,1140801,1283347,1326427,1424259,1202183,1076675,1280550,1299251,1035342
235,문래,승차,6012952,585556,510769,440243,462696,500209,535778,569748,472972,450267,510880,534147,439687
235,문래,하차,6167231,593630,520564,452150,474741,515600,553094,588534,486488,462481,525883,546336,447730
236,영등포구청(2),승차,6598022,638068,569598,495810,513679,543284,581323,611789,513574,497419,552295,580557,500626
236,영등포구청(2),하차,6705673,646037,575941,504562,523195,555018,590970,624898,521671,504606,564193,587861,506721
237,당산,승차,5778191,573969,503249,436043,464864,495181,513876,540887,439309,424728,492971,495586,397528
237,당산,하차,6624079,653394,577707,499515,528880,563425,592038,623360,506355,485509,563526,571791,458579
238,합정(2),승차,9305233,977076,841067,687243,731744,779280,813195,881980,729371,659470,793449,801196,610162
238,합정(2),하차,9904123,1035127,894499,732256,783831,825904,862375,940426,779714,698477,861578,856451,633485
239,홍대입구,승차,16822769,2307081,1737137,1183377,1289217,1286057,1326513,1550960,1300959,1062806,1425857,1391129,961676
239,홍대입구,하차,17977330,2471610,1853360,1256673,1387754,1360012,1409761,1673494,1390864,1132824,1559999,1489117,991862
240,신촌,승차,10440808,1290932,1022455,747433,798950,847258,863461,989690,830100,678769,848321,857643,665796
240,신촌,하차,10819948,1320231,1047096,775923,828488,877676,899014,1040264,865014,707840,888201,888598,681603
241,이대,승차,3736417,459376,363854,241478,259322,298653,312075,337053,284908,262369,326589,336502,254238
241,이대,하차,3879154,482891,380129,251019,268147,309921,322883,347615,294649,269905,340795,350113,261087
242,아현,승차,2967198,294248,246409,204387,218717,245991,263833,277213,233090,230223,263597,269874,219616
242,아현,하차,2833046,282605,236463,197254,208744,234422,249722,261759,221319,218936,249918,257216,214688
243,충정로(2),승차,2971017,302466,268174,223065,223512,244127,258921,275501,228040,222347,248575,261024,215265
243,충정로(2),하차,3118753,316910,281982,233858,234880,257539,274102,290279,237922,231651,260523,274412,224695
244,용답,승차,832872,82088,67568,61269,63751,70211,72406,77210,66077,64531,71672,73694,62395
244,용답,하차,813438,80653,66315,60867,61672,68351,70390,75076,64238,62103,69563,72477,61733
245,신답,승차,478992,46880,41639,36946,37761,40286,42330,44279,37444,35571,39741,41050,35065
245,신답,하차,534823,52265,46633,41287,41169,44485,47087,49367,42349,40143,44388,45408,40242
246,신설동(2),승차,1088666,120150,97165,76973,83629,93881,93064,97932,79889,80090,92276,95790,77827
246,신설동(2),하차,1064121,117420,97288,78667,82065,90435,90159,94571,78568,78287,88853,91154,76654
247,도림천,승차,379844,34795,31471,26732,27995,30203,33321,36892,31341,30028,32575,33493,30998
247,도림천,하차,395868,36993,33354,27959,29412,31576,34634,37585,32112,30991,34018,34832,32402
248,양천구청,승차,2004282,209923,172622,138502,150449,169442,175676,189717,155414,148641,173953,176548,143395
248,양천구청,하차,2092910,218889,181387,144504,155747,175958,182447,197315,162813,154823,180104,184980,153943
249,신정네거리,승차,2884494,284604,240224,200158,217258,242685,252186,270226,231286,221318,253532,255928,215089
249,신정네거리,하차,2971196,292986,247525,208349,224075,252049,260396,277328,237599,226127,258318,262240,224204
250,용두,승차,704960,72580,58675,52437,54365,59080,60088,62858,55350,57128,58248,60248,53903
250,용두,하차,733376,75870,61539,54466,56755,61184,62437,65019,56992,59650,60420,62521,56523
309,지축,승차,949750,60968,65543,69379,79082,87637,92543,96059,76105,75257,87699,86788,72690
309,지축,하차,931738,62106,66858,70185,76804,84531,88982,92534,75079,73297,84809,84589,71964
310,구파발,승차,6293573,645287,529489,431273,484476,537234,565032,598431,489558,469449,552827,544513,446004
310,구파발,하차,5952926,605574,491209,400518,457482,510988,535051,568544,466831,444056,530190,517436,425047
311,연신내(3),승차,11842047,1203743,1017601,874267,930356,1016524,1041915,1089427,917461,885308,1013612,1006336,845497
311,연신내(3),하차,11151117,1149941,965035,826940,877664,963948,977917,1022691,861867,821763,946633,940510,796208
312,불광(3),승차,5037884,511769,425080,361958,389055,432673,441492,458602,389302,381678,440570,438862,366843
312,불광(3),하차,5474872,561648,462978,394566,425994,473313,478138,493827,420931,411939,482110,473309,396119
313,녹번,승차,4223620,403225,341491,293956,310848,341630,372027,402826,341493,330504,375295,384745,325580
313,녹번,하차,3766450,355624,302271,261642,274598,303308,329486,356996,304104,294943,334855,348399,300224
314,홍제,승차,5305668,534779,446222,381315,412845,458093,470013,488881,409749,399198,460408,461770,382395
314,홍제,하차,5029526,507814,424434,363077,389922,432077,443176,460841,387064,377599,434412,438633,370477
315,무악재,승차,1177233,118253,99603,84737,90459,99040,103339,109780,92017,88421,101963,103300,86321
315,무악재,하차,1192807,120277,100965,85883,91012,100820,105424,110500,92088,88943,103710,104759,88426
316,독립문,승차,2171884,225501,176112,147371,165295,188445,191533,200430,168387,163405,198980,191546,154879
316,독립문,하차,2258248,231235,180416,152544,174985,198282,199523,207620,171138,167111,211884,202728,160782
317,경복궁,승차,5568931,672310,503131,361475,400469,459096,476607,517970,420383,382011,492188,516941,366350
317,경복궁,하차,5564021,676406,496450,361624,403471,462600,475800,518147,414895,377071,497960,522050,357547
