역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,27043706,2129346,2103311,2287955,2255585,2353280,2163265,2228923,2275285,2166771,2377087,2284039,2418859
150,서울역(1),하차,24263864,1926094,1817144,2038888,2030020,2100507,1942814,2013565,2038710,1977891,2142168,2073752,2162311
151,시청(1),승차,8932075,734842,689795,752616,739595,757744,674987,751255,718010,698380,795710,806822,812319
151,시청(1),하차,9005534,732302,688342,769549,754807,765150,678848,750863,711376,705078,809985,832676,806558
152,종각,승차,17891510,1519491,1456885,1566385,1490615,1489550,1371379,1573084,1490618,1336559,1463957,1545150,1587837
152,종각,하차,17038191,1441870,1381683,1486837,1418414,1400244,1321111,1524508,1426131,1286334,1398481,1420605,1531973
153,종로3가(1),승차,13945576,1154727,1094571,1191125,1143349,1195601,1086708,1236236,1190044,1080912,1170255,1195894,1206154
153,종로3가(1),하차,12963414,1099316,1037716,1109402,1048457,1094572,1007850,1173909,1118888,993514,1070214,1079038,1130538
154,종로5가,승차,10232989,819835,786816,913995,893317,898960,813908,872161,804696,782852,872077,858414,915958
154,종로5가,하차,10323816,821283,794699,927668,902443,906937,825183,879845,811906,791825,881495,866572,913960
155,동대문(1),승차,6004281,464882,441715,522843,510821,535794,490136,502224,477014,488382,525216,507777,537477
155,동대문(1),하차,6956322,523285,504615,610903,589660,630807,567794,583123,561296,563393,612760,595168,613518
156,신설동(1),승차,6207456,481977,460530,545656,539076,525879,495880,534363,497296,503891,548816,530095,543997
156,신설동(1),하차,6089974,466816,451987,536318,530547,519455,491207,527275,488349,493355,537400,518383,528882
157,제기동,승차,7330161,615789,521845,629908,622533,642850,590541,611465,610401,601097,646724,612580,624428
157,제기동,하차,7551526,638313,533434,648929,640032,661531,608993,629425,631002,622925,666657,630018,640267
158,청량리,승차,11411555,936545,858557,1012115,980328,1007719,924194,939872,932111,923500,975636,942812,978166
158,청량리,하차,11675395,959703,868447,1029265,995639,1027844,942939,968109,958501,948197,1001634,970930,1004187
159,동묘앞(1),승차,3538286,260967,249948,329768,309707,325074,291887,289996,283625,285991,307620,312526,291177
159,동묘앞(1),하차,3743149,272153,264943,354679,326997,343357,306883,304228,298110,302545,323980,337075,308199
201,시청(2),승차,9363574,777123,751227,822002,808338,766389,711028,812747,749935,716809,803610,793542,850824
201,시청(2),하차,9229234,774133,740000,821967,808383,762692,697753,797285,723703,702131,795374,790686,815127
202,을지로입구,승차,19824027,1624760,1565052,1724674,1688016,1640095,1553295,1714540,1646470,1537320,1673301,1645163,1811341
202,을지로입구,하차,19768651,1621726,1552750,1727717,1692745,1650252,1553543,1705703,1623161,1539000,1675048,1633101,1793905
203,을지로3가(2),승차,6887297,545873,533608,593673,589845,546887,538213,601667,547729,530582,597011,622609,639600
203,을지로3가(2),하차,7016484,567765,552827,611342,609376,569770,550995,621937,558490,541049,604221,601969,626743
204,을지로4가(2),승차,4767558,386438,371279,418035,411644,398719,378017,412633,387735,369233,414701,398959,420165
204,을지로4가(2),하차,4781256,382331,370732,419754,411649,404079,377915,413066,385393,369136,417300,405138,424763
205,동대문역사문화공원(2),승차,6955490,466600,461100,608756,595432,618635,561344,609043,578011,559449,636581,623491,637048
205,동대문역사문화공원(2),하차,8069118,537620,532414,709579,686429,723297,655708,704551,663155,649492,743404,732681,730788
206,신당(2),승차,5511325,427610,408357,483521,475888,472934,449238,473145,445098,438814,483797,466755,486168
206,신당(2),하차,5804786,453936,431511,508763,501675,498555,472496,499078,468276,460434,507980,488108,513974
207,상왕십리,승차,3788988,296980,285090,332844,334060,319548,304942,323408,301694,302745,333660,318943,335074
207,상왕십리,하차,3595747,280804,271153,313589,314981,303157,289785,308693,286346,287660,316148,302464,320967
208,왕십리(2),승차,7692564,589844,559967,706474,678639,689234,623992,635083,591876,619951,660019,660590,676895
208,왕십리(2),하차,6368245,496798,479160,564659,540299,549969,511707,542201,515060,508042,539786,547970,572594
209,한양대,승차,4387602,256449,242109,459441,457900,422798,365124,285868,238230,429608,426274,406173,397628
209,한양대,하차,5084690,279319,277143,546459,534541,504603,423157,316902,265916,509120,500522,476462,450546
210,뚝섬,승차,5676617,429163,420996,502034,514981,492178,455503,470710,436795,460058,514856,487231,492112
210,뚝섬,하차,5917413,445178,438721,521574,536435,510834,473575,493358,456617,481124,536807,508020,515170
