역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,18757436,1403377,1441861,1576910,1553829,1608594,1571011,1572509,1545095,1503361,1649162,1670540,1661187
150,서울역(1),하차,17959908,1340735,1385324,1517063,1482974,1534048,1492827,1493507,1470972,1472501,1554508,1597901,1617548
151,시청(1),승차,8950686,645093,675996,782034,741963,768249,743021,726986,727307,729332,794783,816276,799646
151,시청(1),하차,9003728,656377,685150,785636,744517,778884,752013,728487,732042,738654,802587,813930,785451
152,종각,승차,13144938,1012807,1053982,1151545,1068515,1117839,1086347,1118477,1095794,1039942,1089732,1134084,1175874
152,종각,하차,12840840,981887,1030816,1125065,1041166,1085280,1072181,1103950,1084178,1013299,1057397,1105152,1140469
153,종로3가(1),승차,9430974,724400,764843,861778,797275,838690,793418,766174,725851,757490,828383,769618,803054
153,종로3가(1),하차,8610013,669082,702275,784597,726772,755061,722425,703519,664397,686179,746218,707801,741687
154,종로5가,승차,8736986,647974,680676,781610,729541,769853,732138,720656,705117,719896,766996,750878,731651
154,종로5가,하차,8600828,636103,671796,772711,719948,756111,721755,706074,692387,710574,761693,733588,718088
155,동대문(1),승차,4227804,316684,318679,370261,357841,371365,353229,345281,332003,364255,376241,355078,366887
155,동대문(1),하차,4127769,303004,309212,361581,352302,362970,343885,336074,322519,359494,371374,346842,358512
156,신설동(1),승차,4843396,364076,375017,432954,407461,417793,409596,402547,391586,397184,414123,418731,412328
156,신설동(1),하차,4686952,352831,365319,417979,394218,404109,394962,390607,380521,382162,401689,405113,397442
157,제기동,승차,6067190,490706,482169,549760,512315,521800,508886,484895,486713,521413,516165,502236,490132
157,제기동,하차,6185212,507264,492489,560970,522660,533277,517940,491602,494276,534809,526090,509167,494668
158,청량리,승차,7383214,554139,549137,643894,606528,625126,609392,585172,600869,637321,659802,654335,657499
158,청량리,하차,7334399,553133,544360,636356,601854,624004,607545,584456,595849,632336,654531,647863,652112
159,동묘앞(1),승차,3540045,250617,271162,324677,311598,310143,301881,274551,270662,296995,339005,296454,292300
159,동묘앞(1),하차,3650952,260562,282103,338224,322450,321245,308405,280038,274988,305691,352396,303689,301161
201,시청(2),승차,8598298,637529,662598,738935,708770,733801,721448,723636,717959,687818,729121,775257,761426
201,시청(2),하차,8064383,606706,628081,696451,660457,692036,689194,675897,674282,644344,683478,725168,688289
202,을지로입구,승차,16144058,1196912,1214449,1369077,1310080,1346222,1341612,1380469,1353039,1307542,1358925,1444743,1520988
202,을지로입구,하차,16441934,1221492,1235383,1400320,1339915,1366722,1380334,1409027,1377942,1324299,1377515,1477009,1531976
203,을지로3가(2),승차,8256317,621593,632602,714121,688783,699846,693374,709318,689998,660436,686629,729987,729630
203,을지로3가(2),하차,8162044,626514,629348,707411,681875,684165,688107,698510,684907,650759,677426,718091,714931
204,을지로4가(2),승차,4713150,348748,365252,415234,390253,401018,400300,397549,393211,388969,401315,414573,396728
204,을지로4가(2),하차,4781774,355460,372481,420840,398652,411374,406836,398018,393717,393220,406228,420182,404766
205,동대문역사문화공원(2),승차,5274497,373062,370019,459748,443934,462790,443096,448013,428105,451513,460392,456961,476864
205,동대문역사문화공원(2),하차,6021696,420871,415157,517337,509771,528070,507161,511202,487178,515270,527174,526360,556145
206,신당(2),승차,5109028,382174,393959,453779,435306,443293,432391,427156,413692,415906,433696,436702,440974
206,신당(2),하차,5361592,399698,411832,468610,455008,465534,452835,448933,436607,437525,457071,457544,470395
207,상왕십리,승차,4958680,380437,383726,441173,418056,425859,419308,416361,404317,401392,416661,427679,423711
207,상왕십리,하차,4794222,368032,370505,423631,400942,409056,403652,403422,393949,388031,404877,416513,411612
208,왕십리(2),승차,5614336,429679,437381,523583,483553,492513,466837,454191,436444,454697,465459,487863,482136
208,왕십리(2),하차,4957199,383020,389073,447328,417550,430524,411077,410915,396665,397400,410339,429200,434108
209,한양대,승차,3755473,200334,195939,411548,372830,393117,320166,243923,215131,351737,349411,394241,307096
209,한양대,하차,4137864,211210,214817,467578,415657,444497,353448,258626,228219,387948,386448,434116,335300
210,뚝섬,승차,8118204,590228,617774,700328,705807,691812,685520,669347,666997,645346,705287,715074,724684
210,뚝섬,하차,8533202,627384,653002,740194,731998,724039,723016,709563,706829,681477,729765,746584,759351
211,성수,승차,13549483,1036133,1085139,1169600,1099751,1142127,1101660,1135699,1103269,1059728,1162006,1197917,1256454
211,성수,하차,14927196,1124689,1184350,1291812,1212221,1268614,1222043,1249167,1212773,1179622,1297022,1311521,1373362
212,건대입구(2),승차,13129622,1021344,1037437,1188676,1123224,1166227,1091189,1063734,1025513,1051727,1112353,1100770,1147428
212,건대입구(2),하차,13928048,1100457,1104353,1247118,1181231,1230914,1164996,1141367,1099801,1108771,1163122,1164718,1221200
213,구의,승차,8345689,645309,654211,732892,691726,706688,696729,696203,685259,673743,706050,731890,724989
213,구의,하차,8124464,633160,639259,713840,674806,687427,676437,677115,667353,652149,686266,711654,704998
214,강변,승차,11273026,893685,901892,978400,939652,983241,936935,935522,913543,908932,968213,950897,962114
214,강변,하차,10712384,848839,853411,920576,892810,934808,891391,891682,870730,887726,905050,903514,911847
215,잠실나루,승차,5076500,378524,389572,449835,426749,436575,432456,426001,413802,410266,434693,448337,429690
215,잠실나루,하차,4936447,366209,377619,438776,417846,426213,419885,412644,401146,398423,424538,436736,416412
216,잠실(2),승차,27743825,2136734,2210120,2323901,2389452,2323376,2227826,2342991,2284941,2152385,2340917,2368028,2643154
216,잠실(2),하차,27437680,2102693,2174179,2302429,2354536,2282977,2201148,2319169,2258407,2138615,2315456,2367776,2620295
217,잠실새내,승차,8054388,605386,616290,699933,677397,689851,686153,688585,655497,651782,676412,696499,710603
217,잠실새내,하차,8064851,607511,615626,695180,677895,688953,686935,694280,660938,653782,675256,692815,715680
218,종합운동장(2),승차,4328656,204389,218571,272526,469162,443836,531544,421678,341643,417375,371256,342258,294418
218,종합운동장(2),하차,4793160,222448,239723,289480,514224,495579,612357,461526,370655,467064,420390,379331,320383
219,삼성,승차,18746621,1408092,1475822,1593470,1536969,1568064,1598965,1684846,1608154,1453033,1495119,1645873,1678214
219,삼성,하차,18830555,1411239,1481915,1607592,1559520,1579406,1606166,1674776,1602530,1463537,1510335,1664097,1669442
220,선릉,승차,18305630,1426363,1467451,1609671,1502731,1528926,1547439,1576650,1559669,1457120,1490805,1608087,1530718
220,선릉,하차,16131156,1260190,1292002,1423387,1326823,1351325,1364800,1384463,1368026,1280933,1312629,1418422,1348156
221,역삼,승차,16332714,1331186,1344936,1456979,1353459,1353099,1368781,1403581,1389673,1276562,1298044,1433955,1322459
221,역삼,하차,18502730,1491800,1522756,1670892,1534316,1545495,1556634,1585912,1564586,1442456,1473487,1624432,1489964
222,강남,승차,27338007,2221504,2271396,2395331,2245423,2281744,2285486,2413365,2292492,2135268,2179475,2295120,2321403
222,강남,하차,26481103,2156589,2207425,2326104,2177336,2210343,2207522,2324183,2207782,2064874,2118224,2223798,2256923
223,교대(2),승차,10446156,851697,878634,982100,887769,883481,867961,854985,841689,819789,834057,887688,856306
223,교대(2),하차,12381813,963782,1002106,1129151,1049787,1061672,1042738,1027068,1003134,983412,1005891,1072527,1040545
224,서초,승차,7526381,578689,602409,666502,641818,626244,632206,625907,613312,607253,629660,662911,639470
224,서초,하차,7167446,547857,574033,639315,603042,596992,602353,595297,584377,580629,592260,637135,614156
225,방배,승차,5856967,417470,426800,575246,530628,539415,495413,442621,428765,488452,502364,524642,485151
225,방배,하차,6053679,432761,441814,596685,548669,558447,510886,456953,442144,503495,517949,543652,500224
226,사당(2),승차,14107327,1072157,1121659,1261880,1189705,1189619,1187623,1147187,1121392,1136921,1195996,1206469,1276719
226,사당(2),하차,15466063,1178529,1236237,1389102,1312184,1312601,1303898,1261951,1229554,1241348,1316398,1314924,1369337
227,낙성대,승차,9668783,742810,753049,872215,825719,832033,811041,808082,789881,785532,817667,821631,809123
