역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,20767460,1676912,1644512,1772942,1756624,1840208,1688908,1735181,1722473,1656364,1751297,1689551,1832488
150,서울역(1),하차,18005753,1437648,1404685,1544110,1554232,1593035,1476839,1504493,1471066,1461203,1514704,1461491,1582247
151,시청(1),승차,8485713,686269,675497,699562,688214,792020,702828,720475,759615,714081,660246,648184,738722
151,시청(1),하차,8746149,702652,689949,722887,705382,817196,722640,739692,784366,733342,689796,677370,760877
152,종각,승차,18390822,1613186,1589236,1619595,1525318,1500512,1432387,1640496,1574312,1458885,1394182,1418169,1624544
152,종각,하차,17952795,1554660,1538270,1568054,1479317,1450337,1421138,1625887,1532004,1449599,1374990,1378931,1579608
153,종로3가(1),승차,14403762,1211099,1247377,1263849,1237795,1249234,1141976,1262221,1212585,1165959,1133059,1093350,1185258
153,종로3가(1),하차,13779194,1166574,1196878,1197580,1156663,1173502,1095837,1235661,1173642,1107756,1076660,1048798,1149643
154,종로5가,승차,9536102,724624,770953,853962,864876,825772,794753,805391,735438,798413,772323,765634,823963
154,종로5가,하차,9678463,731421,776850,862524,872234,835158,814922,822775,744595,814816,786706,779331,837131
155,동대문(1),승차,5990852,465240,472723,530986,521874,527519,489247,498891,467213,492956,504859,486117,533227
155,동대문(1),하차,6783384,530733,540598,596293,578859,598254,540705,566566,538283,554570,574199,554369,609955
156,신설동(1),승차,6395036,468145,484418,558048,555106,549267,542693,553122,509168,561497,538453,526364,548755
156,신설동(1),하차,6281548,456230,475822,549698,550556,538248,535169,544948,500230,550497,530604,517520,532026
157,제기동,승차,6825045,602933,564236,585864,643191,603737,566190,539223,502143,591643,551803,528592,545490
157,제기동,하차,7211947,624916,578047,663690,645938,626453,594877,576110,538166,636822,587260,563252,576416
158,청량리,승차,14136623,1183607,1118529,1269822,1240000,1260802,1161363,1157857,1160668,1161327,1165515,1107574,1149559
158,청량리,하차,14021192,1166397,1095693,1250545,1228772,1252932,1159203,1159540,1161433,1146434,1158800,1097382,1144061
159,동묘앞(1),승차,2776051,207797,213392,259971,256051,253395,234982,223237,212309,234033,234904,223702,222278
159,동묘앞(1),하차,3025074,221685,231500,282024,277653,274739,257874,249062,230507,255519,256627,245449,242435
201,시청(2),승차,8792314,684997,708610,761012,735423,770694,729955,754551,736937,739802,680585,697577,792171
201,시청(2),하차,9508226,732346,758834,816720,787479,847737,798713,825727,817917,807947,732853,740235,841718
202,을지로입구,승차,17821411,1435333,1472197,1515664,1488484,1458202,1435621,1510171,1442896,1467097,1449724,1457804,1688218
202,을지로입구,하차,18200258,1448141,1466604,1552722,1533991,1483225,1484219,1545978,1450669,1510407,1495834,1509224,1719244
203,을지로3가(2),승차,5687384,428830,463693,498560,496780,463645,479113,488426,438260,478989,462112,476827,512149
203,을지로3가(2),하차,5954063,455151,488288,526851,521366,486729,504723,511071,456698,499062,482474,491883,529767
204,을지로4가(2),승차,4885444,378342,403199,429792,425479,399537,403969,419618,381893,425176,395083,397726,425630
204,을지로4가(2),하차,4954234,380204,411731,437381,431322,404944,412983,424688,383199,428389,401230,405113,433050
205,동대문역사문화공원(2),승차,6276154,475253,491434,549188,547181,569845,518982,542178,498054,521884,525454,505603,531098
205,동대문역사문화공원(2),하차,7308654,545450,565688,632507,632131,654576,602053,626746,576801,618984,627034,600845,625839
206,신당(2),승차,4844714,372245,376592,432510,425037,420433,404843,405839,382323,407715,397261,398017,421899
206,신당(2),하차,5142198,392978,395999,455374,449884,447679,430612,430883,407671,429433,425415,421823,454447
