역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,20265193,1611600,1494397,1690242,1657886,1698792,1590062,1684012,1697475,1635717,1841331,1855689,1807990
150,서울역(1),하차,19328335,1540884,1434939,1645842,1618406,1660223,1548197,1593421,1590540,1549869,1724325,1723470,1698219
151,시청(1),승차,9072607,739095,637636,775269,744002,763440,710222,741974,723281,720358,835020,849111,833199
151,시청(1),하차,8990319,732748,633731,764834,735099,758497,708285,740026,715830,716558,829832,838649,816230
152,종각,승차,15970257,1425767,1206016,1410689,1305507,1351248,1245192,1346458,1320590,1190424,1358911,1372135,1437320
152,종각,하차,15189837,1344410,1139834,1326507,1234300,1274328,1200851,1303534,1277278,1142785,1296129,1301425,1348456
153,종로3가(1),승차,12443170,1045756,901499,1106896,1035344,1094811,1019008,1043956,986423,974663,1079733,1061445,1093636
153,종로3가(1),하차,11612225,988114,847193,1026036,957358,1010421,950110,984367,933633,904512,998034,987479,1024968
154,종로5가,승차,9418673,776245,688552,864211,807294,836977,769189,748134,718907,714178,843234,813050,838702
154,종로5가,하차,9421353,763027,677287,866503,803879,833918,772126,751021,718779,721636,847013,820771,845393
155,동대문(1),승차,5533791,437434,403069,492849,472910,491601,462239,452891,424336,455787,487551,467372,485752
155,동대문(1),하차,6136230,478351,446377,549710,525800,547368,514260,501495,469796,506101,544410,515536,537026
156,신설동(1),승차,5845776,473819,412758,526570,500899,510163,482619,488714,465591,455736,516902,511342,500663
156,신설동(1),하차,5718642,461620,402066,517157,490927,499175,471258,478702,457236,445997,507716,499839,486949
157,제기동,승차,7471495,593294,559163,656246,638499,650830,621254,609636,587371,633386,661204,641715,618897
157,제기동,하차,7645087,605086,577051,671726,655435,665884,636624,620070,597254,656905,675371,653731,629950
158,청량리,승차,9660251,797279,728176,861139,821931,847039,794811,780518,765920,797776,834012,818850,812800
158,청량리,하차,10023743,825297,753189,889383,850041,878561,822678,809417,795913,831728,868675,852632,846229
159,동묘앞(1),승차,3870447,288988,278824,351608,332171,341935,317418,298063,282762,336793,363969,341986,335930
159,동묘앞(1),하차,4070004,302338,291372,369297,346619,360492,333031,310808,294501,359062,388063,360234,354187
201,시청(2),승차,8957234,749976,651653,776286,747520,751014,711052,762155,738444,669637,794038,811971,793488
201,시청(2),하차,8539318,710371,616356,741671,715166,723778,681596,733285,698937,638630,762994,778242,738292
202,을지로입구,승차,18149869,1511895,1320581,1589696,1529615,1528683,1458590,1521525,1512998,1391622,1566675,1583812,1634177
202,을지로입구,하차,17898300,1490724,1292961,1566579,1508948,1510342,1444330,1510114,1496047,1368861,1548408,1568699,1592287
203,을지로3가(2),승차,7869213,635587,547869,673356,656180,656122,635345,680237,664200,599407,700596,718603,701711
203,을지로3가(2),하차,7705218,625109,535425,656655,639966,640927,622814,669703,650842,585955,687868,701540,688414
204,을지로4가(2),승차,4529925,373826,327570,399954,384860,394747,371782,381618,370664,348977,400516,392881,382530
204,을지로4가(2),하차,4471070,361835,321390,392803,379229,391403,368961,376058,364687,346515,397152,389665,381372
205,동대문역사문화공원(2),승차,7116837,532443,471044,628010,597655,623885,588288,615586,625910,585928,634197,602695,611196
205,동대문역사문화공원(2),하차,8055086,610633,536543,713207,685507,709337,672831,684596,675851,641786,726013,694964,703818
206,신당(2),승차,5502891,450397,397939,493203,470904,482792,458523,460219,438198,430681,478943,472771,468321
206,신당(2),하차,5739243,472268,415011,515022,495056,501643,475802,476611,458304,448064,500154,489685,491623
207,상왕십리,승차,5160031,414324,360042,448876,435565,447803,427268,440257,422399,402351,456892,457398,446856
207,상왕십리,하차,4933739,398339,345272,428749,417268,427085,404199,422462,406234,383999,435665,437572,426895
208,왕십리(2),승차,7266859,575991,503249,659292,623074,645178,593564,592535,568744,573817,638208,656900,636307
208,왕십리(2),하차,5920841,477908,418871,525836,497902,518398,479829,492035,480243,464287,515508,526157,523867
209,한양대,승차,4108111,248606,204648,423912,417014,429779,345219,273572,233979,339576,415313,436507,339986
209,한양대,하차,4723951,270697,231686,503516,483888,506016,397739,300935,258365,398838,482450,503704,386117
210,뚝섬,승차,6308051,501488,437966,551242,541101,549345,514651,530693,516534,493132,578347,567242,526310
210,뚝섬,하차,6689231,533192,463757,585576,575004,584202,546423,565676,549187,523621,610581,597323,554689
211,성수,승차,9839151,832202,703176,856279,832099,841846,802449,848814,799487,726105,878991,880919,836784
211,성수,하차,10705229,895997,758294,930092,906093,918480,879689,925334,873618,792570,954543,957539,912980
212,건대입구(2),승차,16184186,1314683,1192691,1502107,1402590,1497150,1337628,1332063,1296894,1278466,1364080,1306663,1359171
212,건대입구(2),하차,17945233,1447020,1323416,1640769,1528333,1634705,1481911,1482463,1452621,1412883,1515359,1495170,1530583
213,구의,승차,8704794,721545,630700,765833,739134,753486,712877,731804,702781,669036,761931,766088,749579
213,구의,하차,8449705,705340,614620,743597,717779,731260,690733,710565,683030,646350,738582,740732,727117
214,강변,승차,17026063,1398566,1297226,1482409,1422908,1494998,1386559,1409610,1401310,1366481,1465495,1457165,1443336
214,강변,하차,16839835,1376063,1287802,1448217,1405255,1475660,1371448,1407096,1389265,1359757,1454516,1440575,1424181
215,잠실나루,승차,6195986,512383,442525,545730,533688,543555,514900,528117,499068,471508,548357,549449,506706
215,잠실나루,하차,5975650,491030,425101,524343,516113,526034,496871,510609,481724,457165,530476,528811,487373
216,잠실(2),승차,32854924,2701999,2453062,2756699,2842167,2813292,2603144,2811876,2801966,2532659,2917257,2796911,2823892
216,잠실(2),하차,31157506,2543773,2303167,2608926,2690451,2660071,2465614,2684014,2666346,2407478,2764933,2669971,2692762
