역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,26764773,2151777,2159125,2291322,2197981,2340789,2194768,2189187,2161680,2128669,2321409,2321666,2306400
150,서울역(1),하차,22800945,1802647,1792451,1932447,1867304,1968427,1883300,1878598,1844608,1883299,1969148,2002333,1976383
151,시청(1),승차,8232072,670249,654573,681565,646700,710690,667543,654619,618411,655673,757293,764276,750480
151,시청(1),하차,8153372,650406,631954,675108,646623,691695,667586,649506,606735,654331,778698,765910,734820
152,종각,승차,17547504,1539210,1515124,1526600,1379231,1476440,1347385,1503162,1404677,1341857,1428293,1560136,1525389
152,종각,하차,16569465,1457499,1421548,1425789,1297067,1350785,1289435,1448627,1352482,1276227,1340770,1457494,1451742
153,종로3가(1),승차,13725433,1162435,1160841,1183527,1098384,1183188,1092979,1200463,1091138,1085999,1159598,1185022,1121859
153,종로3가(1),하차,13064743,1136184,1129688,1129747,1040593,1092870,1032918,1163582,1051205,1022600,1079793,1106939,1078624
154,종로5가,승차,9729927,775007,813745,875160,818155,857734,793117,794157,732070,766991,824042,855720,824029
154,종로5가,하차,9844444,782977,812007,885801,827989,858293,812688,809554,746420,783044,840581,859679,825411
155,동대문(1),승차,5842910,468840,463248,515234,496045,531107,489668,484289,436221,471538,497489,487863,501368
155,동대문(1),하차,6843824,553295,549426,604775,578910,620150,566825,561493,511600,550120,586377,578173,582680
156,신설동(1),승차,6350313,505060,515357,570889,542761,562649,528344,534491,497740,516560,528635,539431,508396
156,신설동(1),하차,6227787,488353,498207,560747,537548,545151,520529,527895,491018,508306,522708,530881,496444
157,제기동,승차,7067492,601657,548332,631723,589889,614414,586050,567925,523612,624592,605827,605238,568233
157,제기동,하차,7254354,622321,558886,648084,605240,622490,604006,581736,538385,651039,622502,621425,578240
158,청량리,승차,12210258,1041598,987499,1106063,1037814,1092509,1005760,981600,940840,1010392,1009408,1007764,989011
158,청량리,하차,12251779,1036930,982507,1101908,1031051,1080425,1003833,981581,952235,1016702,1018802,1030439,1015366
159,동묘앞(1),승차,3139038,238105,243257,285096,275022,291098,265702,251958,227043,260084,276501,268548,256624
159,동묘앞(1),하차,3335269,253720,258594,303051,292734,305595,283067,267961,241602,277372,295329,284380,271864
201,시청(2),승차,9186045,736144,762720,786309,740943,790608,744347,757841,719689,720065,788082,827053,812244
201,시청(2),하차,9609155,761296,792718,819683,777081,807172,783096,788598,745235,758722,856897,876186,842471
202,을지로입구,승차,19173627,1540820,1576052,1649606,1542517,1648818,1532921,1581966,1520706,1505430,1624996,1701150,1748645
202,을지로입구,하차,19164867,1540538,1573664,1649481,1551006,1635779,1546644,1593453,1516723,1517499,1620457,1700328,1719295
203,을지로3가(2),승차,6292527,471923,504687,534347,505095,537785,514355,543193,509283,516807,535678,581094,538280
203,을지로3가(2),하차,6455545,481060,522068,551108,521411,541730,528425,559263,521234,530231,550649,594334,554032
204,을지로4가(2),승차,4545848,365658,384379,401696,375095,396536,375486,374976,347840,366763,374189,406737,376493
204,을지로4가(2),하차,4504686,359186,383420,400264,371676,385153,369785,372007,344486,365509,375379,402872,374949
205,동대문역사문화공원(2),승차,6167022,469612,487587,540951,521282,566123,519808,511600,473532,488678,527949,534098,525802
205,동대문역사문화공원(2),하차,7055229,532181,554021,617204,598849,637850,596123,589796,540412,561744,608841,618424,599784
206,신당(2),승차,5027261,387752,397302,441258,421086,439399,415536,415432,390303,410692,431466,440298,436737
206,신당(2),하차,5352718,417206,425229,468259,446580,466377,442751,439837,414383,434719,459121,469276,468980
207,상왕십리,승차,3582548,276308,284211,315446,300247,314392,297991,299447,279364,294478,302007,311628,307029
207,상왕십리,하차,3378812,263510,270421,298588,284895,291893,280778,282443,263884,276320,285123,293029,287928
208,왕십리(2),승차,7317109,548006,568213,663156,612461,655662,595659,585784,551302,591998,636749,665724,642395
208,왕십리(2),하차,5935561,452503,466674,518986,486092,515296,486294,493542,469984,469317,503623,534372,538878
209,한양대,승차,4648451,271741,269414,492814,469093,505556,385164,319538,264029,434405,433921,471929,330847
209,한양대,하차,5306163,298731,305328,575697,534760,578386,438585,350904,292275,505243,508733,545165,372356
210,뚝섬,승차,5967414,456377,474911,554107,537329,570693,523630,496121,458358,501284,486840,469239,438525
210,뚝섬,하차,6144550,469803,490142,569328,555170,577864,540023,513084,474246,514798,503597,485184,451311
211,성수,승차,8595254,679212,715753,765388,724440,741498,709366,708575,659065,685440,721066,757199,728252
211,성수,하차,9443047,742969,785209,841073,797338,798226,781604,781703,726342,755441,799963,833722,799457
212,건대입구(2),승차,16069737,1267577,1294337,1456765,1380850,1465493,1332520,1301612,1231073,1294858,1345580,1356288,1342784
212,건대입구(2),하차,17689072,1405244,1432991,1596739,1505946,1589709,1470084,1440564,1373597,1418657,1470377,1489335,1495829
213,구의,승차,8940863,707227,723951,785243,748821,782587,746581,755088,687350,724436,758826,771834,748919
213,구의,하차,8804591,703206,719342,779419,741609,758872,732149,742720,675427,708808,743885,759795,739359
214,강변,승차,19886651,1627196,1591342,1735908,1645492,1778245,1646632,1639242,1625393,1595993,1692284,1648239,1660685
214,강변,하차,19634606,1611934,1578635,1680600,1615735,1729243,1623795,1647817,1625566,1611026,1634564,1626704,1648987
215,잠실나루,승차,6925736,541375,553516,606700,577040,622386,589381,586387,540005,563475,598811,590609,556051
215,잠실나루,하차,6552679,510919,520932,574093,549535,582180,561574,556671,512810,535733,569189,556820,522223
216,잠실(2),승차,28475984,2312791,2334830,2455075,2394387,2498131,2317501,2370117,2283346,2223349,2361693,2401171,2523593
