역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,23340181,2183044,1937181,2183050,1966432,2027007,1542782,1794525,1848949,1823516,2002100,1977061,2054534
150,서울역(1),하차,20917546,1943201,1724769,1962679,1798748,1810198,1413264,1616294,1632960,1653841,1786501,1756371,1818720
151,시청(1),승차,8997517,752440,617016,747207,782595,762511,663951,713271,724614,718506,813817,829065,872524
151,시청(1),하차,9039187,747065,612060,745905,788651,763794,673620,724787,724658,720965,822368,837427,877887
152,종각,승차,16998279,1556446,1274660,1496635,1454981,1445686,1239795,1421068,1354123,1285711,1409416,1458267,1601491
152,종각,하차,16164665,1483116,1203201,1427691,1366340,1353641,1217851,1388435,1298862,1231777,1336132,1351357,1506262
153,종로3가(1),승차,13643460,1247486,1031774,1188502,1155580,1175554,966970,1163586,1123863,1061912,1158159,1129955,1240119
153,종로3가(1),하차,12690959,1187517,967944,1102335,1053911,1069074,896595,1106171,1058697,982864,1063693,1039497,1162661
154,종로5가,승차,10006215,880108,743302,892347,887956,879098,731121,811891,775714,775711,871759,846457,910751
154,종로5가,하차,10067038,878641,745167,898740,887627,876673,745885,823644,780776,785548,879791,847082,917464
155,동대문(1),승차,5919815,486585,440999,535626,523143,558627,438109,475776,467681,487203,501120,480906,524040
155,동대문(1),하차,6751903,546058,501227,605609,589012,642541,479874,532856,541090,553619,593617,557287,609113
156,신설동(1),승차,6181140,516690,437607,563896,553172,532347,489534,511112,480983,498579,537210,521204,538806
156,신설동(1),하차,6026251,499919,423902,550473,540515,520084,481434,500826,467851,485167,525867,508342,521871
157,제기동,승차,7217938,627574,571670,651271,632182,623417,531091,584990,558157,607736,624196,584721,620933
157,제기동,하차,7386571,646003,592806,667788,647834,634714,541958,595388,570678,627281,635360,594422,632339
158,청량리,승차,11043993,939899,829741,976635,959070,991452,820995,890051,887096,914530,951021,916036,967467
158,청량리,하차,11361978,958771,853511,996746,987556,1021169,840310,917890,918983,943771,975617,947492,1000162
159,동묘앞(1),승차,3577743,288030,265334,333927,310105,334965,267868,277275,281117,297322,321487,292143,308170
159,동묘앞(1),하차,3789147,303388,283824,352876,330811,351531,283454,293448,295566,314195,340811,310780,328463
201,시청(2),승차,9255839,776197,648862,805265,813025,755649,714646,764234,738378,728828,812486,822675,875594
201,시청(2),하차,9055885,757436,620996,784380,797329,732429,716221,761918,719177,715441,796221,805599,848738
202,을지로입구,승차,18778241,1623929,1421322,1676808,1655256,1596212,1386019,1491459,1453719,1476884,1626010,1603560,1767063
202,을지로입구,하차,18681124,1618225,1398405,1667253,1640577,1573762,1412299,1507087,1441157,1473692,1617320,1590813,1740534
203,을지로3가(2),승차,7187654,604096,507663,641813,632230,586419,561352,595135,552139,576256,632242,640557,657752
203,을지로3가(2),하차,7018646,596631,498497,628794,613602,565216,555637,587458,536814,558505,616516,616840,644136
204,을지로4가(2),승차,4769003,401131,347517,421678,419725,401364,370108,393893,370320,385026,422628,409079,426534
204,을지로4가(2),하차,4773076,406379,351900,423706,419775,401417,374404,399024,365925,382408,418118,406790,423230
205,동대문역사문화공원(2),승차,6879521,559831,494039,622733,598246,639090,494948,551216,560762,543778,626835,575620,612423
205,동대문역사문화공원(2),하차,7897590,635633,557342,714628,686192,734548,566552,631082,645174,628459,722782,667665,707533
206,신당(2),승차,5524754,457125,394426,493827,482930,479873,432015,459611,435732,445802,486249,466472,490692
206,신당(2),하차,5802148,485708,416175,517856,503396,507402,451402,480756,454413,463328,511100,489200,521412
207,상왕십리,승차,3940894,311830,265696,349039,336881,333451,314342,335892,316189,325053,353750,343034,355737
207,상왕십리,하차,3743213,299682,255264,333135,320975,317483,298971,318981,297827,308109,334140,323622,335024
208,왕십리(2),승차,7553387,608265,518245,708368,678088,674359,591109,608330,572435,616891,658156,652585,666556
208,왕십리(2),하차,6366257,529238,451374,582767,560772,565881,488205,523862,498873,506750,545973,540554,572008
