역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,26460499,2139366,1965296,2236728,2203060,2260953,2147900,2161215,2237428,2139745,2320082,2310200,2338526
150,서울역(1),하차,22516099,1786235,1622032,1900436,1896956,1941246,1850763,1838772,1879865,1857336,1982722,1973848,1985888
151,시청(1),승차,8337195,722640,606650,724389,672832,700474,673161,657042,675004,662376,709002,771934,761691
151,시청(1),하차,8405760,723523,609470,736837,689878,720785,682773,655669,668629,668896,714801,786928,747571
152,종각,승차,17880816,1614701,1357241,1575236,1438039,1472646,1387339,1536030,1516103,1364694,1440458,1561508,1616821
152,종각,하차,17166099,1549153,1294354,1504338,1385320,1397016,1344805,1495407,1457220,1325229,1377608,1473454,1562195
153,종로3가(1),승차,13914861,1184587,1058353,1208466,1164312,1175750,1088481,1200961,1190473,1095575,1167645,1187047,1193211
153,종로3가(1),하차,13427205,1179771,1035100,1161906,1114262,1117665,1041097,1196751,1165461,1046048,1104775,1116421,1147948
154,종로5가,승차,9640378,793166,696623,854891,836010,821561,787976,793218,775890,750008,826442,825795,878798
154,종로5가,하차,9859334,804902,712130,874053,851516,839145,810899,812463,791600,772694,848541,848944,892447
155,동대문(1),승차,6250344,490726,455928,541482,535341,553674,514061,513841,506092,518603,553441,522682,544473
155,동대문(1),하차,7234001,569870,541841,626858,616341,643079,583242,588243,582884,591529,641691,604843,643580
156,신설동(1),승차,6551870,533436,462654,597490,572755,563326,542843,540780,526175,526137,561095,560214,564965
156,신설동(1),하차,6330712,511662,441981,576866,553042,542765,527108,526448,511630,509747,544564,541648,543251
157,제기동,승차,7291496,630519,507669,647837,620469,616302,580606,577470,604219,622488,646866,608570,628481
157,제기동,하차,7542993,657925,521405,669881,641441,638159,602209,596402,628615,651459,668681,624226,642590
158,청량리,승차,12640525,1069606,927156,1128407,1077857,1088816,1008721,1000700,1018321,1050703,1088497,1069892,1111849
158,청량리,하차,12459285,1046649,913186,1106748,1058455,1083720,1000993,996086,1022065,1026795,1067405,1045196,1091987
159,동묘앞(1),승차,3026453,227551,218155,278299,269583,272798,246695,235545,234414,252248,275814,254577,260774
159,동묘앞(1),하차,3264334,243810,236890,300815,291003,294840,266891,254694,251978,271466,297533,275710,278704
201,시청(2),승차,9187551,792241,653770,816612,764672,760428,757330,755634,749003,723022,754802,819110,840927
201,시청(2),하차,9666853,818071,684070,854638,794616,803047,797665,793038,785384,769690,804476,885295,876863
202,을지로입구,승차,18789442,1578081,1345752,1609979,1539252,1549995,1525742,1562589,1571261,1499081,1583306,1634370,1790034
202,을지로입구,하차,18947168,1587538,1341097,1624307,1556381,1555391,1549014,1583965,1579586,1527821,1604420,1652988,1784660
203,을지로3가(2),승차,5756713,479924,403131,517514,497079,484303,476891,477449,460647,450749,476979,511730,520317
203,을지로3가(2),하차,5810768,482845,409041,521267,503049,487598,481978,479676,462606,455466,483519,513758,529965
204,을지로4가(2),승차,4693448,396485,335048,421348,411918,393428,387768,384706,380666,370643,391145,405452,414841
204,을지로4가(2),하차,4654535,388408,332433,418064,409103,390830,384020,381272,375385,368281,389473,405572,411694
205,동대문역사문화공원(2),승차,6233687,476185,444547,541575,536391,553147,522109,519328,499525,500549,551212,530144,558975
205,동대문역사문화공원(2),하차,7140846,541122,504087,621612,615174,634751,601093,593644,569092,579374,631899,613153,635845
206,신당(2),승차,4957956,405862,356560,451491,436681,431614,412119,407489,395732,393017,417779,415241,434371
206,신당(2),하차,5297700,440026,380104,481765,465821,462351,435088,435517,426694,417834,444646,441677,466177
207,상왕십리,승차,3493846,287555,246333,313889,302375,298738,289948,284889,275130,280928,299727,303323,311011
207,상왕십리,하차,3320069,274122,235923,300788,288213,283706,275550,270889,262118,264955,284227,286296,293282
208,왕십리(2),승차,7101327,563616,495328,644694,603764,621605,581310,576237,561629,580019,610438,627622,635065
208,왕십리(2),하차,5705716,464588,408745,506862,475230,492027,469152,482314,466126,456678,480740,489565,513689
209,한양대,승차,4740847,288227,244522,523368,486453,485789,397767,289205,278097,425516,437131,495762,389010
209,한양대,하차,5480136,319072,282405,611001,561001,571597,461255,325818,315983,506012,510513,573456,442023
210,뚝섬,승차,6131371,470221,413005,555109,553994,560100,519697,492756,481642,501765,544932,523563,514587
210,뚝섬,하차,6290539,483292,423364,569943,569355,573140,534562,506516,497622,514313,553671,537795,526966
211,성수,승차,8444475,684200,584371,748739,728202,706371,710863,704497,673237,669293,726108,746177,762417
211,성수,하차,9351440,758525,646439,829940,806702,783750,790345,779608,743410,739133,802365,826797,844426
212,건대입구(2),승차,16210225,1293221,1183477,1461099,1412730,1446412,1314627,1312326,1307165,1304115,1398573,1368856,1407624
212,건대입구(2),하차,17896242,1442521,1325207,1605258,1543125,1583128,1446302,1455666,1448678,1441977,1526765,1507045,1570570
213,구의,승차,9042082,738322,641297,807656,783987,773890,749998,749547,733318,722999,774591,772485,793992
213,구의,하차,8922897,733973,635842,800097,776228,759368,737400,738456,720971,709734,762290,762624,785914
214,강변,승차,20405691,1636342,1556875,1778118,1727824,1804756,1669364,1645573,1740223,1661881,1748136,1693320,1743279
214,강변,하차,20134779,1626839,1544242,1727227,1685440,1781443,1649003,1649679,1731720,1627038,1722606,1671691,1717851
215,잠실나루,승차,7050398,562590,496249,626970,607944,611288,591337,585629,574195,572343,612577,605356,603920
215,잠실나루,하차,6665665,531964,467843,591601,571941,577929,559268,554464,547916,543586,582786,571441,564926
216,잠실(2),승차,28616981,2402112,2147642,2447988,2404284,2449315,2292496,2381136,2432124,2219096,2450519,2381020,2609249
216,잠실(2),하차,25979545,2176836,1934278,2204226,2178880,2216326,2082779,2173330,2218882,2012791,2229637,2172833,2378747
217,잠실새내,승차,9931249,814948,711094,877427,845427,853488,822337,839001,815683,791801,834235,841133,884675
217,잠실새내,하차,9444044,784377,686200,829500,796426,803218,776174,798509,781084,745986,790540,796451,855579
218,종합운동장,승차,6183307,392914,368298,465506,611397,676728,555352,582158,575282,575672,513213,440871,425916
218,종합운동장,하차,6676415,424322,393399,502348,675429,757565,605407,614671,610387,632171,536996,469687,454033
219,삼성,승차,25732844,2203588,1916641,2270126,2117793,2075898,2152331,2224000,2144264,1946623,2062651,2168747,2450182
219,삼성,하차,26708645,2247352,1970427,2349042,2204761,2177197,2246538,2310817,2213673,2033981,2147084,2268457,2539316
220,선릉,승차,22825578,1939709,1602346,2043444,1941826,1875772,1928253,1964976,1903865,1799154,1872783,1945833,2007617
220,선릉,하차,21627743,1821633,1510252,1930096,1844265,1782535,1826439,1863285,1797482,1702842,1774465,1859565,1914884
221,역삼,승차,17619002,1554910,1244325,1577976,1482237,1420819,1464394,1473867,1451139,1374340,1453036,1526037,1595922
221,역삼,하차,19526023,1668436,1363753,1733856,1642242,1585410,1631356,1641158,1617871,1543512,1622018,1708648,1767763
222,강남,승차,36727458,3334584,2737738,3225324,3029073,2953734,2932564,3353887,3204213,2843687,2955491,2961030,3196133
222,강남,하차,38722453,3516355,2909416,3389381,3187543,3134917,3114595,3543912,3377627,2982968,3092810,3101082,3371847
223,교대(2),승차,15280240,1262018,1052151,1384644,1325101,1291295,1294525,1283891,1263449,1226134,1280928,1293433,1322671
223,교대(2),하차,17162535,1413280,1180307,1570663,1500834,1457994,1450699,1425835,1401934,1370951,1438491,1460825,1490722
224,서초,승차,7090196,558334,467395,610787,593365,580772,597216,593758,589941,580282,622347,638670,657329
224,서초,하차,7431060,584743,490932,640193,616968,599059,620006,622682,621868,611317,654012,672860,696420
225,방배,승차,8060443,612173,530362,774561,736275,718173,672913,620251,633232,666803,700700,712841,682159
225,방배,하차,8209955,623401,541091,791698,751882,732125,686764,624389,642916,679409,713131,728843,694306
226,사당(2),승차,16322021,1267098,1114123,1493640,1428006,1402926,1360158,1317735,1322096,1318563,1419910,1420562,1457204
226,사당(2),하차,17586419,1388891,1221221,1583714,1525061,1505560,1445266,1415753,1422837,1416819,1534945,1528254,1598098
227,낙성대,승차,11633811,947047,813079,1045367,1005769,1007054,967193,976807,950111,932968,997160,988986,1002270
227,낙성대,하차,11058415,905883,773476,1009341,960683,964597,915368,919261,892700,882472,947134,942426,945074
228,서울대입구,승차,19971994,1608089,1397638,1802003,1713222,1732824,1648832,1665523,1643971,1624833,1708322,1701461,1725276
228,서울대입구,하차,19396616,1561773,1360959,1749887,1659210,1686347,1601645,1615989,1601841,1577913,1665311,1652351,1663390
229,봉천,승차,8978522,726729,634126,790998,770209,770617,750178,751876,735769,722235,772394,764385,789006
229,봉천,하차,8104055,663334,574683,715525,693597,696877,677315,677356,667104,650021,694259,684942,709042
230,신림,승차,27432404,2277324,2005931,2452637,2357681,2342491,2247419,2275728,2246332,2187495,2327559,2304856,2406951
230,신림,하차,26558276,2228387,1953660,2377456,2280051,2270153,2177574,2205883,2179495,2109050,2233958,2212054,2330555
231,신대방,승차,9292912,706851,631613,797288,783288,810534,784371,779927,777373,769446,821178,806897,824146
231,신대방,하차,8999479,694444,616771,772418,763429,777224,753808,757118,752214,742438,792669,782481,794465
232,구로디지털단지,승차,22223220,1815079,1568672,1965705,1901945,1885799,1853664,1855991,1819298,1782154,1893322,1916552,1965039
232,구로디지털단지,하차,22379332,1848251,1585027,1986368,1916967,1893756,1867833,1869741,1829795,1786110,1898211,1929694,1967579
233,대림(2),승차,11918308,942648,846110,1056606,1039551,1046558,1004787,998038,986307,970073,1025171,996203,1006256
233,대림(2),하차,12241197,968630,870438,1084702,1068862,1072498,1031278,1024176,1013912,996043,1052783,1023498,1034377
234,신도림,승차,21522720,1647611,1455862,1853014,1791350,1835632,1743186,1716070,1748956,1829917,1957537,1928066,2015519
234,신도림,하차,21337562,1617390,1432196,1827680,1761097,1813711,1721442,1694098,1732480,1838139,1964774,1925336,2009219
235,문래,승차,7074066,585448,496103,634387,606357,596820,593563,592912,581861,558213,593200,608119,627083
235,문래,하차,7122609,591784,500168,638870,609203,599657,597840,599010,584428,560076,596466,611322,633785
236,영등포구청(2),승차,7920540,644336,551535,709541,681823,670145,660207,654265,641660,630692,681495,688307,706534
236,영등포구청(2),하차,7816474,634146,543337,699479,675441,664372,650906,644712,631778,619925,672410,679392,700576
237,당산,승차,9932283,762689,676921,891054,925506,870893,834534,808899,799627,810030,872987,847676,831467
237,당산,하차,10367938,796624,700097,925042,972662,905231,874936,844765,832995,846349,913864,888016,867357
238,합정(2),승차,9531104,737312,644677,816932,816529,823625,795223,792209,795663,785271,838662,834671,850330
238,합정(2),하차,9196153,715784,629547,804955,795579,791266,762969,756963,754091,750092,812567,803830,818510
239,홍대입구,승차,22155081,1767190,1577028,1932354,1838659,1894777,1761119,1833375,1894796,1775415,1919630,1910834,2049904
239,홍대입구,하차,23046816,1836766,1672461,1999770,1910505,1973110,1840767,1926981,1981488,1859100,1962444,1951758,2131666
240,신촌,승차,20434268,1706182,1503443,1903948,1745128,1779835,1612777,1697915,1646112,1623819,1721039,1714776,1779294
240,신촌,하차,21188727,1786137,1571791,1952471,1794810,1842920,1681863,1767056,1706064,1687452,1779233,1766685,1852245
241,이대,승차,8821140,649335,612276,854157,795423,817480,715104,682532,652437,733069,794828,773059,741440
241,이대,하차,9128831,655541,628057,884632,820954,851872,740014,697557,671991,772436,829955,809983,765839
242,아현,승차,3486976,289236,252573,337146,317665,310288,291810,276828,267156,279681,298734,290814,275045
242,아현,하차,3282783,267041,234043,319439,298759,291344,274322,258481,249720,265150,286457,276815,261212
243,충정로(2),승차,4319010,344982,299458,381236,373481,370029,368346,363249,351543,351932,366175,368206,380373
243,충정로(2),하차,4540761,358005,310619,405659,395504,390819,387736,379732,365644,373327,385321,389149,399246
244,용답,승차,1041535,77921,68862,88220,87176,89424,89874,89120,88151,88118,92039,91564,91066
244,용답,하차,1054310,79529,70049,91003,88909,90576,89728,88403,88104,89614,93432,93240,91723
