역번호,역      명,구분,계,일평균,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
218,종합운동장,하차,6554684,17958,386518,402782,475987,690101,768924,659222,557836,584676,660022,487393,420977,460246
219,삼성,승차,20468475,56078,1627760,1602493,1788484,1621098,1701755,1675618,1815611,1733231,1683678,1445431,1794553,1978763
219,삼성,하차,21136404,57908,1679601,1642997,1848940,1676435,1761200,1734098,1869326,1783836,1753566,1494830,1850834,2040741
220,선릉,승차,19433446,53242,1589181,1604917,1744080,1609653,1557591,1637122,1648915,1624385,1648304,1365136,1715808,1688354
220,선릉,하차,16671044,45674,1358021,1377437,1500378,1377474,1336890,1405320,1411731,1386674,1415662,1177054,1471937,1452466
221,역삼,승차,16346081,44784,1348573,1363561,1473646,1349058,1288096,1372001,1393298,1373907,1384195,1124717,1447474,1427555
221,역삼,하차,18048310,49447,1467820,1495494,1629343,1488822,1429748,1531555,1544445,1518757,1542040,1246981,1592125,1561180
222,강남,승차,36745184,100672,3137305,3138580,3206829,2988288,2959391,2987005,3300969,3187485,3025121,2610271,3022471,3181469
222,강남,하차,37048905,101504,3145226,3156192,3223666,3009013,2990311,3024736,3315909,3187091,3062222,2653189,3041141,3240209
223,교대(2),승차,13217026,36211,1046458,1066853,1210821,1122466,1097818,1127351,1111713,1095401,1135703,946377,1135532,1120533
223,교대(2),하차,14940688,40933,1178124,1203552,1373283,1273233,1242917,1271866,1245328,1232304,1288620,1065212,1290452,1275797
224,서초,승차,8191502,22442,635417,646830,728364,701307,663167,682989,676838,667099,720336,607324,738480,723351
224,서초,하차,8196764,22457,634092,643235,730109,699869,661349,687442,680088,672223,724924,608835,730931,723667
225,방배,승차,7532982,20638,554358,556979,735549,684403,661286,640728,567171,588886,668160,570719,671142,633601
225,방배,하차,7636545,20922,556681,563975,745909,691697,670782,649763,574358,595956,680756,580666,684223,641779
226,사당(2),승차,15368979,42107,1212005,1228645,1404961,1325347,1297902,1288988,1234575,1221790,1303751,1159901,1316708,1374406
