사용일자,노선명,역명,승차총승객수,하차총승객수
2015-05-25,공항철도,서울역,12178,10974
2015-05-26,공항철도,서울역,10517,9156
2015-05-27,공항철도,서울역,10064,8596
2015-05-28,공항철도,서울역,10492,8651
2015-05-29,공항철도,서울역,12641,10299
2015-05-30,공항철도,서울역,11229,9944
2015-05-31,공항철도,서울역,10102,9083
2015-06-01,공항철도,서울역,9929,8586
2015-06-02,공항철도,서울역,9084,7583
2015-06-03,공항철도,서울역,8951,7570
2015-06-04,공항철도,서울역,8972,7379
2015-06-05,공항철도,서울역,10528,8722
2015-06-06,공항철도,서울역,7765,7339
2015-06-07,공항철도,서울역,7620,6583
2015-06-08,공항철도,서울역,8140,7071
2015-06-09,공항철도,서울역,7804,6548
2015-06-10,공항철도,서울역,7852,6749
2015-06-11,공항철도,서울역,7873,6624
2015-06-12,공항철도,서울역,10042,8107
2015-06-13,공항철도,서울역,8219,7513
2015-06-14,공항철도,서울역,7024,5971
2015-06-15,공항철도,서울역,8015,6879
2015-06-16,공항철도,서울역,7826,6447
2015-06-17,공항철도,서울역,7512,6417
2015-06-18,공항철도,서울역,7938,6497
2015-06-19,공항철도,서울역,10016,8213
2015-06-20,공항철도,서울역,7678,6871
2015-06-21,공항철도,서울역,7810,6829
2015-06-22,공항철도,서울역,8622,7303
2015-06-23,공항철도,서울역,8203,7040
2015-06-24,공항철도,서울역,8362,6953
2015-06-25,공항철도,서울역,8521,7238
2015-06-26,공항철도,서울역,10482,8834
2015-06-27,공항철도,서울역,8656,8149
2015-06-28,공항철도,서울역,8146,6828
2015-06-29,공항철도,서울역,8726,7689
2015-06-30,공항철도,서울역,8140,7131
2015-07-01,공항철도,서울역,8130,7195
2015-07-02,공항철도,서울역,8338,7354
2015-07-03,공항철도,서울역,10246,9250
2015-07-04,공항철도,서울역,9266,8620
2015-07-05,공항철도,서울역,8377,7278
2015-07-06,공항철도,서울역,8835,7641
2015-07-07,공항철도,서울역,8490,7339
2015-07-08,공항철도,서울역,8302,7236
2015-07-09,공항철도,서울역,8600,7411
2015-07-10,공항철도,서울역,10814,9520
2015-07-11,공항철도,서울역,9522,8958
2015-07-12,공항철도,서울역,8933,8499
2015-07-13,공항철도,서울역,9011,7767
2015-07-14,공항철도,서울역,8826,7650
2015-07-15,공항철도,서울역,8944,7822
2015-07-16,공항철도,서울역,9107,7989
2015-07-17,공항철도,서울역,11043,9639
2015-07-18,공항철도,서울역,9698,9121
2015-07-19,공항철도,서울역,9170,7863
2015-07-20,공항철도,서울역,9453,8267
2015-07-21,공항철도,서울역,8750,7484
2015-07-22,공항철도,서울역,8981,7994
2015-07-23,공항철도,서울역,9265,8182
2015-07-24,공항철도,서울역,11123,10579
2015-07-25,공항철도,서울역,9187,9083
2015-07-26,공항철도,서울역,8990,7601
2015-07-27,공항철도,서울역,9469,8416
2015-07-28,공항철도,서울역,9353,8032
2015-07-29,공항철도,서울역,9557,8401
2015-07-30,공항철도,서울역,9735,8666
2015-07-31,공항철도,서울역,11659,10143
2015-08-01,공항철도,서울역,10641,9964
2015-08-02,공항철도,서울역,10080,8467
2015-08-03,공항철도,서울역,10542,8624
2015-08-04,공항철도,서울역,9946,8084
2015-08-05,공항철도,서울역,9582,8347
2015-08-06,공항철도,서울역,9677,8610
2015-08-07,공항철도,서울역,11508,9983
2015-08-08,공항철도,서울역,9804,9190
2015-08-09,공항철도,서울역,9407,8099
2015-08-10,공항철도,서울역,9736,8576
2015-08-11,공항철도,서울역,9562,8307
2015-08-12,공항철도,서울역,9913,8512
2015-08-13,공항철도,서울역,11055,9626
2015-08-14,공항철도,서울역,10541,9997
2015-08-15,공항철도,서울역,10480,9347
2015-08-16,공항철도,서울역,10933,8763
2015-08-17,공항철도,서울역,10038,8423
2015-08-18,공항철도,서울역,9570,7826
2015-08-19,공항철도,서울역,9613,8057
2015-08-20,공항철도,서울역,9978,8240
2015-08-21,공항철도,서울역,12231,9805
2015-08-22,공항철도,서울역,10446,8797
2015-08-23,공항철도,서울역,9660,8286
2015-08-24,공항철도,서울역,9910,8493
2015-08-25,공항철도,서울역,9461,8141
2015-08-26,공항철도,서울역,9653,8242
2015-08-27,공항철도,서울역,10111,8486
2015-08-28,공항철도,서울역,12239,10003
2015-08-29,공항철도,서울역,10703,9935
2015-08-30,공항철도,서울역,9649,8640
2015-08-31,공항철도,서울역,9392,8283
2015-09-01,공항철도,서울역,9107,7658
2015-09-02,공항철도,서울역,9158,7483
2015-09-03,공항철도,서울역,9877,7812
2015-09-04,공항철도,서울역,12048,9619
2015-09-05,공항철도,서울역,10796,9233
2015-09-06,공항철도,서울역,10105,9077
2015-09-07,공항철도,서울역,9610,8285
2015-09-08,공항철도,서울역,8905,7566
2015-09-09,공항철도,서울역,9125,7748
2015-09-10,공항철도,서울역,9712,7879
2015-09-11,공항철도,서울역,12173,9694
2015-09-12,공항철도,서울역,11125,9839
2015-09-13,공항철도,서울역,10143,8601
2015-09-14,공항철도,서울역,9448,8069
2015-09-15,공항철도,서울역,9311,7667
2015-09-16,공항철도,서울역,9869,7851
2015-09-17,공항철도,서울역,9881,8119
2015-09-18,공항철도,서울역,12199,9419
2015-09-19,공항철도,서울역,11464,9896
2015-09-20,공항철도,서울역,9784,8753
2015-09-21,공항철도,서울역,9627,8392
