사용일자,노선명,역명,승차총승객수,하차총승객수
2015-05-16,경의선,서울역,1,0
2015-05-16,경의선,서울역,2714,2454
2015-05-17,경의선,서울역,2137,1465
2015-05-18,경의선,서울역,1,0
2015-05-18,경의선,서울역,3991,4698
2015-05-19,경의선,서울역,3561,4054
2015-05-20,경의선,서울역,3753,4235
2015-05-20,경의선,서울역,1,0
2015-05-21,경의선,서울역,3931,4433
2015-05-22,경의선,서울역,4212,5084
2015-05-23,경의선,서울역,2640,2277
2015-05-24,경의선,서울역,1,0
2015-05-24,경의선,서울역,2281,1610
2015-05-25,경의선,서울역,2476,1695
2015-05-26,경의선,서울역,3719,4416
2015-05-27,경의선,서울역,3838,4279
2015-05-28,경의선,서울역,3758,4299
2015-05-29,경의선,서울역,4068,4617
2015-05-30,경의선,서울역,2384,2060
2015-05-31,경의선,서울역,1871,1364
2015-06-01,경의선,서울역,3715,4429
2015-06-01,경의선,서울역,1,0
2015-06-02,경의선,서울역,3613,4061
2015-06-03,경의선,서울역,3554,3934
2015-06-04,경의선,서울역,3432,3718
2015-06-05,경의선,서울역,3580,3942
2015-06-06,경의선,서울역,1630,1332
2015-06-06,경의선,서울역,1,0
2015-06-07,경의선,서울역,1432,958
2015-06-08,경의선,서울역,3338,3825
2015-06-08,경의선,서울역,1,0
2015-06-09,경의선,서울역,3171,3574
2015-06-10,경의선,서울역,3180,3556
2015-06-11,경의선,서울역,3098,3482
2015-06-12,경의선,서울역,3352,3760
2015-06-13,경의선,서울역,1623,1384
2015-06-13,경의선,서울역,2,0
2015-06-14,경의선,서울역,1253,857
2015-06-15,경의선,서울역,3321,3744
2015-06-16,경의선,서울역,3203,3576
2015-06-17,경의선,서울역,3055,3371
2015-06-18,경의선,서울역,1,0
2015-06-18,경의선,서울역,3171,3587
2015-06-19,경의선,서울역,3338,3806
2015-06-20,경의선,서울역,1495,1177
2015-06-21,경의선,서울역,1488,991
2015-06-22,경의선,서울역,3390,3797
2015-06-23,경의선,서울역,3243,3663
2015-06-24,경의선,서울역,3327,3633
2015-06-25,경의선,서울역,3291,3670
2015-06-26,경의선,서울역,3368,3762
2015-06-27,경의선,서울역,1804,1517
2015-06-28,경의선,서울역,1480,1033
2015-06-29,경의선,서울역,3341,3784
2015-06-30,경의선,서울역,1,0
2015-06-30,경의선,서울역,3164,3587
2015-07-01,경의선,서울역,3132,3656
2015-07-02,경의선,서울역,3206,3640
2015-07-03,경의선,서울역,3449,4116
2015-07-04,경의선,서울역,1974,1700
2015-07-04,경의선,서울역,1,0
2015-07-05,경의선,서울역,1701,1094
2015-07-06,경의선,서울역,3568,3935
2015-07-07,경의선,서울역,3296,3813
2015-07-08,경의선,서울역,3298,3721
2015-07-09,경의선,서울역,3410,3861
2015-07-10,경의선,서울역,3707,4349
2015-07-11,경의선,서울역,1,0
2015-07-11,경의선,서울역,1924,1703
2015-07-12,경의선,서울역,1610,1019
2015-07-13,경의선,서울역,3307,3753
2015-07-14,경의선,서울역,1,0
2015-07-14,경의선,서울역,3503,3842
2015-07-15,경의선,서울역,3385,3763
2015-07-16,경의선,서울역,3555,3919
2015-07-17,경의선,서울역,3839,4313
2015-07-17,경의선,서울역,1,0
2015-07-18,경의선,서울역,2149,1835
2015-07-19,경의선,서울역,1,0
2015-07-19,경의선,서울역,1770,1213
2015-07-20,경의선,서울역,3529,4050
2015-07-21,경의선,서울역,3438,3888
2015-07-22,경의선,서울역,3357,3757
2015-07-23,경의선,서울역,3247,3682
2015-07-24,경의선,서울역,3597,4019
2015-07-25,경의선,서울역,1830,1635
2015-07-26,경의선,서울역,1689,1081
2015-07-27,경의선,서울역,1,0
2015-07-27,경의선,서울역,3509,3898
2015-07-28,경의선,서울역,3522,3990
2015-07-29,경의선,서울역,3422,3803
2015-07-30,경의선,서울역,3565,3993
2015-07-31,경의선,서울역,3764,4279
2015-08-01,경의선,서울역,2328,1807
2015-08-02,경의선,서울역,1988,1294
2015-08-03,경의선,서울역,3556,3877
2015-08-04,경의선,서울역,3527,3734
2015-08-05,경의선,서울역,1,0
2015-08-05,경의선,서울역,3455,3483
2015-08-06,경의선,서울역,3331,3776
2015-08-07,경의선,서울역,3637,3828
2015-08-08,경의선,서울역,1920,1631
2015-08-09,경의선,서울역,1966,1147
2015-08-10,경의선,서울역,3363,3776
2015-08-11,경의선,서울역,3506,3745
2015-08-12,경의선,서울역,3368,3724
2015-08-13,경의선,서울역,3659,4002
2015-08-14,경의선,서울역,2672,3051
2015-08-15,경의선,서울역,2247,1822
2015-08-16,경의선,서울역,1861,1206
2015-08-16,경의선,서울역,1,0
2015-08-17,경의선,서울역,3420,3942
2015-08-18,경의선,서울역,3438,3731
2015-08-19,경의선,서울역,3558,3718
2015-08-20,경의선,서울역,3486,3723
2015-08-21,경의선,서울역,3758,3943
2015-08-22,경의선,서울역,1906,1605
2015-08-23,경의선,서울역,1632,1156
2015-08-24,경의선,서울역,3311,3778
2015-08-25,경의선,서울역,3300,3582
2015-08-26,경의선,서울역,3401,3720
2015-08-27,경의선,서울역,3436,3967
2015-08-28,경의선,서울역,3743,4208
2015-08-29,경의선,서울역,2103,1965
2015-08-30,경의선,서울역,1906,1343
2015-08-31,경의선,서울역,3684,3999
2015-09-01,경의선,서울역,3460,4005
2015-09-02,경의선,서울역,3544,3917
2015-09-03,경의선,서울역,3622,4010
2015-09-04,경의선,서울역,3922,4459
2015-09-05,경의선,서울역,2079,1896
2015-09-06,경의선,서울역,1971,1417
2015-09-07,경의선,서울역,3726,4292
2015-09-08,경의선,서울역,3480,4084
2015-09-09,경의선,서울역,3698,4171
2015-09-10,경의선,서울역,3816,4443
2015-09-11,경의선,서울역,4188,4714
2015-09-12,경의선,서울역,2465,1953
2015-09-13,경의선,서울역,2040,1446
2015-09-14,경의선,서울역,3754,4355
2015-09-15,경의선,서울역,3661,4124
2015-09-16,경의선,서울역,3651,4094
2015-09-17,경의선,서울역,3745,4260
2015-09-18,경의선,서울역,4012,4570
2015-09-19,경의선,서울역,2406,2100
2015-09-20,경의선,서울역,1953,1382
2015-09-21,경의선,서울역,3717,4267
2015-09-22,경의선,서울역,3651,3983
2015-09-23,경의선,서울역,3619,4055
2015-09-24,경의선,서울역,3782,4382
2015-09-25,경의선,서울역,3852,4690
2015-09-26,경의선,서울역,2159,1712
2015-09-27,경의선,서울역,2281,1524
2015-09-28,경의선,서울역,2535,1241
2015-09-29,경의선,서울역,2332,1338
2015-09-30,경의선,서울역,3939,3910
2015-10-01,경의선,서울역,3484,3749
2015-10-02,경의선,서울역,3872,4516
2015-10-03,경의선,서울역,2824,2322
2015-10-04,경의선,서울역,1937,1306
2015-10-05,경의선,서울역,3831,4333
2015-10-06,경의선,서울역,3711,4193
2015-10-07,경의선,서울역,3700,4202
2015-10-08,경의선,서울역,4439,4547
2015-10-09,경의선,서울역,2484,2119
2015-10-10,경의선,서울역,2045,1669
2015-10-11,경의선,서울역,1980,1337
2015-10-12,경의선,서울역,3755,4212
2015-10-13,경의선,서울역,3954,4257
2015-10-14,경의선,서울역,3752,4129
2015-10-15,경의선,서울역,3821,4126
2015-10-16,경의선,서울역,4283,4863
2015-10-17,경의선,서울역,2410,2099
2015-10-18,경의선,서울역,2042,1385
2015-10-19,경의선,서울역,3765,4287
2015-10-20,경의선,서울역,3633,4216
2015-10-21,경의선,서울역,3661,4106
2015-10-22,경의선,서울역,3735,4079
2015-10-23,경의선,서울역,3933,4368
2015-10-24,경의선,서울역,1980,2054
2015-10-25,경의선,서울역,2002,1530
2015-10-26,경의선,서울역,3720,4265
2015-10-27,경의선,서울역,3540,3855
2015-10-28,경의선,서울역,3688,4088
2015-10-29,경의선,서울역,3764,4107
2015-10-30,경의선,서울역,3947,4325
2015-10-31,경의선,서울역,2466,2144
2015-11-01,경의선,서울역,1951,1454
2015-11-02,경의선,서울역,3777,4203
2015-11-03,경의선,서울역,3651,4027
2015-11-04,경의선,서울역,3714,4000
2015-11-05,경의선,서울역,3757,4109
2015-11-06,경의선,서울역,4214,4602
2015-11-07,경의선,서울역,1944,1708
2015-11-08,경의선,서울역,1840,1209
2015-11-09,경의선,서울역,3769,4309
2015-11-10,경의선,서울역,3659,3933
2015-11-11,경의선,서울역,3749,4036
2015-11-12,경의선,서울역,3734,4360
2015-11-13,경의선,서울역,4014,4287
2015-11-14,경의선,서울역,3576,2793
2015-11-15,경의선,서울역,2125,1502
2015-11-16,경의선,서울역,3829,4238
2015-11-17,경의선,서울역,3764,4126
2015-11-18,경의선,서울역,3522,3965
2015-11-19,경의선,서울역,3613,4072
2015-11-20,경의선,서울역,4288,4552
2015-11-21,경의선,서울역,2593,2266
2015-11-22,경의선,서울역,2107,1603
2015-11-23,경의선,서울역,3708,4271
2015-11-24,경의선,서울역,3600,4047
2015-11-25,경의선,서울역,3501,3830
2015-11-26,경의선,서울역,3534,3925
2015-11-27,경의선,서울역,3787,4341
2015-11-28,경의선,서울역,1920,1791
2015-11-29,경의선,서울역,1557,1187
2015-11-30,경의선,서울역,3626,4017
2015-12-01,경의선,서울역,3498,4000
2015-12-02,경의선,서울역,3203,3556
2015-12-03,경의선,서울역,3495,4092
2015-12-04,경의선,서울역,3733,4203
2015-12-05,경의선,서울역,1959,1874
2015-12-06,경의선,서울역,1701,1166
2015-12-07,경의선,서울역,3424,4087
2015-12-08,경의선,서울역,3524,3895
2015-12-09,경의선,서울역,3487,4029
2015-12-10,경의선,서울역,3365,3926
2015-12-11,경의선,서울역,3608,4401
2015-12-12,경의선,서울역,2092,1979
2015-12-13,경의선,서울역,1694,1288
2015-12-14,경의선,서울역,3548,4166
2015-12-15,경의선,서울역,3484,3841
2015-12-16,경의선,서울역,3269,3814
2015-12-17,경의선,서울역,3328,3984
2015-12-18,경의선,서울역,3733,4499
2015-12-19,경의선,서울역,2185,2023
2015-12-20,경의선,서울역,1880,1281
2015-12-21,경의선,서울역,3567,4014
2015-12-22,경의선,서울역,3807,4128
2015-12-23,경의선,서울역,3644,4327
2015-12-24,경의선,서울역,4183,4364
2015-12-25,경의선,서울역,2021,1699
2015-12-26,경의선,서울역,1816,1622
2015-12-27,경의선,서울역,1579,1135
2015-12-28,경의선,서울역,3460,3785
2015-12-29,경의선,서울역,3380,3686
2015-12-30,경의선,서울역,3420,3991
2015-12-31,경의선,서울역,3471,4226
2016-01-01,경의선,서울역,1385,1199
2016-01-02,경의선,서울역,1765,1408
2016-01-03,경의선,서울역,1800,1225
2016-01-04,경의선,서울역,3563,3910
2016-01-05,경의선,서울역,3346,3923
2016-01-06,경의선,서울역,3426,3800
2016-01-07,경의선,서울역,3481,3837
2016-01-08,경의선,서울역,3642,4097
2016-01-09,경의선,서울역,1760,1612
2016-01-10,경의선,서울역,1574,1197
2016-01-11,경의선,서울역,3446,4056
2016-01-12,경의선,서울역,3311,3734
2016-01-13,경의선,서울역,3383,3863
2016-01-14,경의선,서울역,3534,3750
2016-01-15,경의선,서울역,3574,4023
2016-01-16,경의선,서울역,1931,1710
2016-01-17,경의선,서울역,1615,1184
