사용일자,노선명,역명,승차총승객수,하차총승객수
2015-06-01,1호선,서울역,61101,56712
2015-06-02,1호선,서울역,59119,55106
2015-06-03,1호선,서울역,57368,53315
2015-06-04,1호선,서울역,56485,52350
2015-06-05,1호선,서울역,61193,57599
2015-06-06,1호선,서울역,39925,36648
2015-06-07,1호선,서울역,35768,28155
2015-06-08,1호선,서울역,52278,48718
2015-06-09,1호선,서울역,49838,47251
2015-06-10,1호선,서울역,50354,47321
2015-06-11,1호선,서울역,50985,47973
2015-06-12,1호선,서울역,59340,53307
2015-06-13,1호선,서울역,44275,39904
2015-06-14,1호선,서울역,32181,26311
2015-06-15,1호선,서울역,50966,47537
2015-06-16,1호선,서울역,49489,46635
2015-06-17,1호선,서울역,49165,46075
2015-06-18,1호선,서울역,50924,47766
2015-06-19,1호선,서울역,58260,54640
2015-06-20,1호선,서울역,39827,36407
2015-06-21,1호선,서울역,35616,30056
2015-06-22,1호선,서울역,53641,49911
2015-06-23,1호선,서울역,52642,49117
2015-06-24,1호선,서울역,53828,50064
2015-06-25,1호선,서울역,55601,51472
2015-06-26,1호선,서울역,61438,57202
2015-06-27,1호선,서울역,47551,43161
2015-06-28,1호선,서울역,38757,31827
2015-06-29,1호선,서울역,56127,51186
2015-06-30,1호선,서울역,54187,49399
2015-07-01,1호선,서울역,53844,49628
2015-07-02,1호선,서울역,56100,51586
2015-07-03,1호선,서울역,64942,59003
2015-07-04,1호선,서울역,52034,45509
2015-07-05,1호선,서울역,41111,33329
2015-07-06,1호선,서울역,57088,52142
2015-07-07,1호선,서울역,56362,51637
2015-07-08,1호선,서울역,55574,51020
2015-07-09,1호선,서울역,57747,52426
2015-07-10,1호선,서울역,66281,59944
2015-07-11,1호선,서울역,50631,45566
2015-07-12,1호선,서울역,40473,32327
2015-07-13,1호선,서울역,56660,52060
2015-07-14,1호선,서울역,57963,53069
2015-07-15,1호선,서울역,59581,54489
2015-07-16,1호선,서울역,60503,54347
2015-07-17,1호선,서울역,68716,60965
2015-07-18,1호선,서울역,52083,46597
2015-07-19,1호선,서울역,43098,36308
2015-07-20,1호선,서울역,59592,54420
2015-07-21,1호선,서울역,58905,53620
2015-07-22,1호선,서울역,59334,53380
2015-07-23,1호선,서울역,61311,55254
2015-07-24,1호선,서울역,68287,60320
2015-07-25,1호선,서울역,51188,45545
2015-07-26,1호선,서울역,43008,34736
2015-07-27,1호선,서울역,61093,55698
2015-07-28,1호선,서울역,60991,55510
2015-07-29,1호선,서울역,59842,54635
2015-07-30,1호선,서울역,63089,57473
2015-07-31,1호선,서울역,69575,63202
2015-08-01,1호선,서울역,54858,50452
2015-08-02,1호선,서울역,47875,38852
2015-08-03,1호선,서울역,63629,55672
2015-08-04,1호선,서울역,61626,53303
2015-08-05,1호선,서울역,60004,52668
2015-08-06,1호선,서울역,60349,53902
2015-08-07,1호선,서울역,66742,59574
2015-08-08,1호선,서울역,49243,43594
2015-08-09,1호선,서울역,44497,35904
2015-08-10,1호선,서울역,59896,53859
2015-08-11,1호선,서울역,60145,53476
2015-08-12,1호선,서울역,61142,54561
2015-08-13,1호선,서울역,66757,60176
2015-08-14,1호선,서울역,57191,52246
2015-08-15,1호선,서울역,54670,47003
2015-08-16,1호선,서울역,49454,38989
2015-08-17,1호선,서울역,62055,54946
2015-08-18,1호선,서울역,61167,54238
2015-08-19,1호선,서울역,61088,55138
2015-08-20,1호선,서울역,62719,55963
2015-08-21,1호선,서울역,70970,61740
2015-08-22,1호선,서울역,55501,47247
2015-08-23,1호선,서울역,44252,35937
2015-08-24,1호선,서울역,61177,55060
2015-08-25,1호선,서울역,60499,54409
2015-08-26,1호선,서울역,61988,56516
2015-08-27,1호선,서울역,64378,58164
2015-08-28,1호선,서울역,73041,64411
2015-08-29,1호선,서울역,60559,52991
2015-08-30,1호선,서울역,48368,39940
2015-08-31,1호선,서울역,60960,55648
2015-09-01,1호선,서울역,59195,54913
2015-09-02,1호선,서울역,59335,54503
2015-09-03,1호선,서울역,61568,56579
2015-09-04,1호선,서울역,71998,63616
2015-09-05,1호선,서울역,57906,51066
2015-09-06,1호선,서울역,48681,40320
2015-09-07,1호선,서울역,61761,56615
2015-09-08,1호선,서울역,60689,55920
2015-09-09,1호선,서울역,61044,55666
2015-09-10,1호선,서울역,62147,56999
2015-09-11,1호선,서울역,72761,64830
2015-09-12,1호선,서울역,63673,55335
2015-09-13,1호선,서울역,49024,40333
2015-09-14,1호선,서울역,62055,56949
2015-09-15,1호선,서울역,60684,56108
2015-09-16,1호선,서울역,60550,57797
2015-09-17,1호선,서울역,63113,57265
2015-09-18,1호선,서울역,74767,64947
2015-09-19,1호선,서울역,62152,54464
2015-09-20,1호선,서울역,47213,40649
2015-09-21,1호선,서울역,62636,58223
2015-09-22,1호선,서울역,62198,57586
2015-09-23,1호선,서울역,62245,59305
2015-09-24,1호선,서울역,61680,64015
2015-09-25,1호선,서울역,64850,74202
2015-09-26,1호선,서울역,43957,50044
2015-09-27,1호선,서울역,45031,40363
2015-09-28,1호선,서울역,54040,36658
2015-09-29,1호선,서울역,58371,39403
2015-09-30,1호선,서울역,64689,51674
2015-10-01,1호선,서울역,59509,53294
2015-10-02,1호선,서울역,72205,64248
2015-10-03,1호선,서울역,66041,57727
2015-10-04,1호선,서울역,48302,40793
2015-10-05,1호선,서울역,63277,58668
2015-10-06,1호선,서울역,64566,59216
2015-10-07,1호선,서울역,64283,57824
2015-10-08,1호선,서울역,73860,65825
2015-10-09,1호선,서울역,62533,55208
2015-10-10,1호선,서울역,59518,48826
2015-10-11,1호선,서울역,51795,41834
2015-10-12,1호선,서울역,64430,58915
2015-10-13,1호선,서울역,62910,57252
2015-10-14,1호선,서울역,64274,58396
2015-10-15,1호선,서울역,64290,58775
2015-10-16,1호선,서울역,73682,64161
2015-10-17,1호선,서울역,64574,57095
2015-10-18,1호선,서울역,51243,42880
2015-10-19,1호선,서울역,62071,56863
2015-10-20,1호선,서울역,62108,57495
2015-10-21,1호선,서울역,62471,57203
2015-10-22,1호선,서울역,64877,58932
2015-10-23,1호선,서울역,75344,65586
2015-10-24,1호선,서울역,66764,58880
