사용일자,노선명,역명,승차총승객수,하차총승객수
2015-01-01,4호선,서울역,3943,10823
2015-01-02,4호선,서울역,10630,19989
2015-01-03,4호선,서울역,6091,15151
2015-01-04,4호선,서울역,5099,12195
2015-01-05,4호선,서울역,11648,19142
2015-01-06,4호선,서울역,12691,19450
2015-01-07,4호선,서울역,12771,19369
2015-01-08,4호선,서울역,12408,19912
2015-01-09,4호선,서울역,13222,21858
2015-01-10,4호선,서울역,7579,18590
2015-01-11,4호선,서울역,5639,13588
2015-01-12,4호선,서울역,12229,19670
2015-01-13,4호선,서울역,12523,19943
2015-01-14,4호선,서울역,12385,19850
2015-01-15,4호선,서울역,12290,21071
2015-01-16,4호선,서울역,12914,22021
2015-01-17,4호선,서울역,7538,18655
2015-01-18,4호선,서울역,5582,14184
2015-01-19,4호선,서울역,12236,19685
2015-01-20,4호선,서울역,12479,19948
2015-01-21,4호선,서울역,12645,20626
2015-01-22,4호선,서울역,12332,20334
2015-01-23,4호선,서울역,13316,22265
2015-01-24,4호선,서울역,7727,18390
2015-01-25,4호선,서울역,5232,13351
2015-01-26,4호선,서울역,11747,19239
2015-01-27,4호선,서울역,12290,19880
2015-01-28,4호선,서울역,12434,20050
2015-01-29,4호선,서울역,12115,19977
2015-01-30,4호선,서울역,12872,21308
2015-01-31,4호선,서울역,7183,17206
2015-02-01,4호선,서울역,5427,12667
2015-02-02,4호선,서울역,11722,18395
2015-02-03,4호선,서울역,12171,19001
2015-02-04,4호선,서울역,11990,19406
2015-02-05,4호선,서울역,12072,19512
2015-02-06,4호선,서울역,12552,21320
2015-02-07,4호선,서울역,7525,18288
2015-02-08,4호선,서울역,5176,12483
2015-02-09,4호선,서울역,11892,18786
2015-02-10,4호선,서울역,12007,20120
2015-02-11,4호선,서울역,12459,20485
2015-02-12,4호선,서울역,12288,21484
2015-02-13,4호선,서울역,13037,22321
2015-02-14,4호선,서울역,7507,17922
2015-02-15,4호선,서울역,5314,13348
2015-02-16,4호선,서울역,11465,19864
2015-02-17,4호선,서울역,10814,19269
2015-02-18,4호선,서울역,3727,10566
2015-02-19,4호선,서울역,4042,10533
2015-02-20,4호선,서울역,4706,11171
2015-02-21,4호선,서울역,4650,11140
2015-02-22,4호선,서울역,4947,11206
2015-02-23,4호선,서울역,12242,20568
2015-02-24,4호선,서울역,12851,23116
2015-02-25,4호선,서울역,12960,23442
2015-02-26,4호선,서울역,13073,23211
2015-02-27,4호선,서울역,13522,23767
2015-02-28,4호선,서울역,8945,21371
2015-03-01,4호선,서울역,5772,14539
