역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,23026344,1897766,1801856,1968011,1944112,1991783,1895534,1894875,1893510,1829713,1962528,2005189,1941467
150,서울역(1),하차,20264349,1640660,1570148,1745068,1728181,1764843,1671664,1654320,1640155,1616184,1737244,1774887,1720995
151,시청(1),승차,9476809,752573,656675,786132,753592,797210,777750,752837,748482,725588,793626,989361,942983
151,시청(1),하차,9568730,745850,650009,784242,756909,804005,783584,754212,744568,730805,801028,1049112,964406
152,종각,승차,17236168,1461508,1300187,1498648,1378492,1448023,1362500,1418116,1390194,1279798,1408809,1636852,1653041
152,종각,하차,16326531,1374465,1228079,1420003,1303171,1361488,1314044,1363705,1339650,1229759,1325848,1513279,1553040
153,종로3가(1),승차,13407704,1179962,1048938,1180922,1116236,1137977,1064989,1119791,1052785,1013940,1111331,1179161,1201672
153,종로3가(1),하차,12435447,1125290,995423,1094880,1032450,1043227,980288,1060071,990679,937343,1019679,1053528,1102589
154,종로5가,승차,9956398,826770,762419,896041,856460,872342,827908,815160,780192,758073,839560,852314,869159
154,종로5가,하차,9998295,823090,756672,898610,865742,880167,842726,820804,787639,769897,843626,845029,864293
155,동대문(1),승차,5829841,461765,439572,514602,495475,513001,485481,481311,453669,478025,503560,492300,511080
155,동대문(1),하차,6774750,529353,506604,600544,578814,603867,567392,562511,530758,556064,590103,564249,584491
156,신설동(1),승차,6034223,480367,437374,549896,520410,524690,510737,496701,482529,477185,514911,518690,520733
156,신설동(1),하차,5910494,466542,423800,536507,509044,513524,501075,488764,473017,468830,508999,509615,510777
157,제기동,승차,7119033,589154,528040,634614,600848,601435,591236,567717,549475,595913,625432,613784,621385
157,제기동,하차,7256049,602373,540298,645210,612137,611122,602334,578040,558096,612537,637379,626230,630293
158,청량리,승차,10865195,894817,830856,971485,933333,955247,904047,881457,871643,886960,917433,900451,917466
158,청량리,하차,11246631,927407,860475,999335,961531,990126,937420,916461,904178,914451,944585,937812,952850
159,동묘앞(1),승차,3722097,283605,267596,337631,328114,334145,315465,297352,281008,305562,332753,321033,317833
159,동묘앞(1),하차,3950600,302395,284565,358239,349017,352485,333035,313494,294528,323566,355157,344013,340106
201,시청(2),승차,9394668,772300,688647,822038,764351,789131,789246,782641,756452,689081,756860,903960,879961
201,시청(2),하차,9116101,740576,655637,795014,739490,771688,768363,743900,716782,673431,738759,918760,853701
202,을지로입구,승차,18919089,1552372,1411627,1647702,1543373,1591430,1552605,1576391,1567515,1454246,1587914,1694281,1739633
202,을지로입구,하차,18829282,1545725,1398214,1647610,1545869,1581159,1555711,1575116,1564429,1455507,1586795,1666134,1707013
203,을지로3가(2),승차,7368065,591244,522046,641655,605634,625733,623864,623903,606086,566301,620944,670192,670463
203,을지로3가(2),하차,7221168,583197,513527,629748,595912,612164,613368,616155,595649,555449,610150,643427,652422
204,을지로4가(2),승차,4734467,385145,352373,420093,398309,401023,396379,400065,382697,365335,399551,412999,420498
204,을지로4가(2),하차,4632363,378540,348143,415504,397221,396112,390465,386914,371400,356054,389626,397785,404599
205,동대문역사문화공원(2),승차,7150759,531608,492268,639399,602177,622013,611105,621098,595130,565579,643405,606258,620719
205,동대문역사문화공원(2),하차,8244345,600921,556483,726738,688320,718053,706651,718021,692277,662660,749009,705066,720146
206,신당(2),승차,5571796,443592,411203,499044,478825,483871,468461,460404,445629,441560,479395,473677,486135
206,신당(2),하차,5850918,470397,435023,526856,501026,505994,490189,478353,463245,461976,504842,499302,513715
207,상왕십리,승차,3987384,319022,292502,358614,337933,346079,336373,331686,320172,309796,338363,338723,358121
207,상왕십리,하차,3784871,302625,278518,341096,320456,329073,319838,316040,304342,291709,319112,320997,341065
208,왕십리(2),승차,7562445,581674,541867,702856,654288,675071,630116,614794,592471,601151,645387,661711,661059
208,왕십리(2),하차,6315344,510855,476005,584252,546190,569243,535505,518789,496699,478111,518788,531786,549121
209,한양대,승차,4249266,242132,217175,453748,418740,442127,360089,274877,256159,371010,406739,453008,353462
209,한양대,하차,4957480,269160,247704,546349,494167,529643,422159,303426,285854,444192,478640,528314,407872
