역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,12697373,863461,890851,1108189,1111721,1114209,1152743,973900,942249,957461,1125594,1270865,1186130
150,서울역(1),하차,12110091,802154,840564,1042884,1057864,1057001,1092515,938952,898344,925167,1086865,1220692,1147089
151,시청(1),승차,5997417,420304,420686,533988,532690,502485,536217,477840,451248,451677,507332,590817,572133
151,시청(1),하차,6030564,411990,417801,534731,537648,515232,549054,477470,445417,451914,514793,602609,571905
152,종각,승차,9639011,685203,706115,880483,862377,835908,885428,767958,720164,702153,799319,919350,874553
152,종각,하차,9284752,648570,666932,840533,829143,804113,860892,746300,693893,679113,768739,894609,851915
153,종로3가(1),승차,7704636,507414,549933,699977,683597,679433,691110,612154,601553,608293,696209,712182,662781
153,종로3가(1),하차,7090933,463326,503958,642860,626136,624391,631786,571573,559795,556513,636593,658369,615633
154,종로5가,승차,6651316,469264,475339,607049,590452,583863,600243,536493,509050,519447,583177,595547,581392
154,종로5가,하차,6609088,461871,471460,604339,588509,581694,599678,531719,503303,517109,580387,593472,575547
155,동대문(1),승차,3634329,256066,263661,321827,319816,329495,322837,293488,277194,294388,318606,325673,311278
155,동대문(1),하차,3474693,244876,251292,309980,307211,319105,311708,278166,263320,280819,306718,309195,292303
156,신설동(1),승차,4186850,302824,303032,377042,372530,358397,372430,341091,321984,331800,358116,382103,365501
156,신설동(1),하차,4111501,301392,299312,372961,366108,350282,364105,335237,319563,325019,351095,370223,356204
157,제기동,승차,5351892,403318,399479,487802,477596,457781,462157,418689,413272,444371,468102,472466,446859
157,제기동,하차,5481486,415812,411663,497716,489466,466926,473636,427479,424849,459615,479806,481088,453430
158,청량리,승차,6344671,474816,475455,575237,566940,554610,556107,504755,493453,510224,547583,551132,534359
158,청량리,하차,6369985,474213,477755,573158,562721,555805,558563,508791,498187,514230,551897,558287,536378
159,동묘앞(1),승차,3045158,217060,225393,276557,276658,281718,267192,229579,233543,254232,282016,261194,240016
159,동묘앞(1),하차,3163773,225785,236622,290491,289343,292222,277020,236293,239817,264091,293322,271444,247323
201,시청(2),승차,6287794,468716,466343,578325,566257,514533,566009,500419,472993,458465,508414,599027,588293
201,시청(2),하차,5994962,443745,440047,554087,541913,486050,537967,484234,453293,438069,484105,578546,552906
202,을지로입구,승차,10894192,808953,802616,980152,962268,901081,979693,861628,820152,807028,888221,1010266,1072134
202,을지로입구,하차,11014741,809036,802562,992349,975187,912410,999409,874941,826026,816996,900387,1033039,1072399
203,을지로3가(2),승차,6055225,427105,428152,537154,535066,513430,561743,488698,459130,445571,502379,581325,575472
203,을지로3가(2),하차,5995821,415651,418536,527115,527493,508876,557845,484345,454785,444267,497238,583513,576157
204,을지로4가(2),승차,3669625,280398,266145,327217,323370,305084,329270,298623,282786,278868,306902,336803,334159
204,을지로4가(2),하차,3637685,276201,261660,325255,321848,304459,327137,291484,279666,276670,306573,335311,331421
205,동대문역사문화공원(2),승차,3789625,265465,266341,341105,333320,331771,339203,301824,285280,293115,330864,347248,354089
205,동대문역사문화공원(2),하차,4217030,293823,295575,379587,369924,368342,375767,332827,314852,325127,371961,391681,397564
