역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
220,선릉,승차,20892253,1843107,1583748,1771860,1817343,1796754,1673437,1851656,1669998,1513787,1790252,1781906,1798405
220,선릉,하차,18464295,1636203,1397918,1572182,1614337,1600252,1475448,1640845,1476383,1337287,1577141,1559435,1576864
221,역삼,승차,17152323,1565373,1352306,1467631,1483303,1438191,1330744,1510423,1350647,1225778,1424938,1476870,1526119
221,역삼,하차,19076850,1717590,1472057,1624337,1651047,1620422,1491657,1688536,1515974,1379491,1599621,1633475,1682643
222,강남,승차,38432798,3575131,3106236,3289467,3171290,3205992,3016793,3512121,3223937,2738936,3082878,3145518,3364499
222,강남,하차,39806942,3683728,3198563,3387456,3265540,3332505,3141012,3654425,3369595,2863839,3193215,3243012,3474052
223,교대(2),승차,14546314,1242467,1080157,1267533,1267079,1267587,1179908,1266046,1163283,1085922,1253202,1224636,1248494
223,교대(2),하차,16232253,1373205,1189199,1418100,1423216,1429202,1312622,1403658,1281952,1211156,1405016,1379341,1405586
224,서초,승차,7224827,600071,524812,595443,605464,607775,561808,610504,561653,534093,616589,661819,744796
224,서초,하차,7487704,633322,546677,624045,629201,630821,580176,638113,582783,549975,639127,668563,764901
225,방배,승차,7927376,628466,553326,734486,739100,731402,636735,614575,605777,611431,705335,697875,668868
225,방배,하차,8099908,643143,564843,752040,756428,750115,651707,628268,616706,626583,717931,713180,678964
226,사당(2),승차,16508297,1358084,1193035,1456754,1438794,1452142,1346063,1352759,1290838,1252075,1463229,1423074,1481450
226,사당(2),하차,18222857,1482027,1308366,1605921,1579588,1612305,1484925,1494982,1427179,1375639,1629664,1582932,1639329
227,낙성대,승차,11537064,962716,851691,1009104,1001363,1024063,949525,976439,921819,880005,1002298,975770,982271
227,낙성대,하차,11009406,922197,810647,969608,962288,978400,902861,926189,865485,839989,958702,936335,936705
228,서울대입구,승차,20017919,1652047,1472576,1789590,1739131,1778766,1610305,1677205,1584913,1539872,1743865,1718423,1711226
228,서울대입구,하차,19515548,1612036,1431607,1743663,1689202,1725144,1574910,1631198,1549753,1501190,1709625,1677219,1670001
229,봉천,승차,9096438,751939,672701,777960,785704,798341,741790,778586,736129,703049,797783,772624,779832
229,봉천,하차,8288179,689131,616969,712591,715096,721221,674041,708236,669096,636042,723627,708304,713825
230,신림,승차,27022545,2272346,2037062,2362030,2320472,2370339,2190957,2272248,2174850,2058124,2331809,2278602,2353706
230,신림,하차,26306599,2225674,1996575,2307366,2254774,2289055,2133225,2210180,2120871,1998259,2252720,2219613,2298287
231,신대방,승차,9965420,808215,728976,856031,858135,884525,815950,844520,801928,783276,882211,848161,853492
231,신대방,하차,9552621,778348,700020,823875,826225,840593,782772,806041,765249,748670,846363,816736,817729
232,구로디지털단지,승차,22952744,1968939,1736637,1966030,1985418,1975737,1833492,1967539,1833725,1732603,1987698,1956612,2008314
232,구로디지털단지,하차,22965977,1979750,1739014,1967979,1987150,1956133,1832814,1971221,1834045,1728151,1991876,1962657,2015187
233,대림(2),승차,11739153,959408,864316,1012136,1016359,1037020,963831,995009,937535,911777,1027583,997669,1016510
233,대림(2),하차,12050507,982243,888038,1035649,1042702,1059189,989508,1024535,965640,937666,1055754,1026945,1042638
234,신도림,승차,23865355,1960671,1766900,2045937,2006496,2061688,1930742,1986130,1915472,1860671,2104294,2075377,2150977
234,신도림,하차,23726613,1931325,1744901,2029813,1983672,2047233,1923216,1966797,1900651,1859405,2099804,2072103,2167693
235,문래,승차,7142083,615482,537106,606918,605571,613929,569838,616318,565076,533478,628096,622119,628152
235,문래,하차,7217112,622256,544479,614316,613045,616436,572785,621840,569162,539228,636851,627586,639128
236,영등포구청(2),승차,7944093,690990,606852,691252,691060,694751,626512,669770,618770,585695,690604,681240,696597
236,영등포구청(2),하차,7921171,682615,601796,687667,691839,695549,624812,669359,615221,585856,689918,679210,697329
237,당산,승차,8850348,713963,629794,777070,807464,810364,729310,732768,688367,674808,790084,753009,743347
237,당산,하차,9526769,765466,675671,833988,870731,866054,780457,791532,741162,726709,854289,815558,805152
238,합정(2),승차,11356997,890571,795341,952772,950182,991744,928881,962205,935224,881280,1027922,1003053,1037822
238,합정(2),하차,11367910,871789,782026,947854,947987,997805,927888,963433,938949,890931,1039736,1013888,1045624
239,홍대입구,승차,24345185,1997604,1831196,2136172,1992871,2132610,1961909,1986155,2030505,1854269,2088797,2078499,2254598
239,홍대입구,하차,25666800,2018413,1920608,2219772,2065373,2255622,2077685,2122545,2194324,1974384,2205884,2192802,2419388
240,신촌,승차,19861551,1693884,1515378,1826506,1669911,1763708,1568433,1646119,1580427,1506664,1645915,1668573,1776033
240,신촌,하차,20452151,1754675,1568351,1856968,1713255,1814211,1615700,1706600,1638389,1559183,1690931,1703930,1829958
241,이대,승차,8795359,661538,618638,824917,780728,842927,702335,675267,636308,686218,794169,801300,771014
241,이대,하차,9168219,680514,636608,865286,815598,887577,733023,696640,657148,726278,832120,840400,797027
242,아현,승차,3104620,241761,215666,275006,276368,284500,255681,252813,236957,240785,277197,275970,271916
242,아현,하차,2928077,226735,203667,264009,264955,269696,241701,236610,219843,225935,260962,259590,254374
243,충정로(2),승차,4542506,390098,345680,401670,404815,399735,365035,382715,349938,338978,394686,385714,383442
243,충정로(2),하차,4846875,408685,364323,431851,435439,430164,388895,404771,368870,364965,424991,414057,409864
244,용답,승차,1003481,80658,72488,87911,85917,88252,81783,84385,82232,80391,88186,85992,85286
244,용답,하차,1010395,80674,72526,89904,87904,89961,82397,82496,79752,81651,89511,88340,85279
245,신답,승차,512854,42064,36475,44283,44135,45768,43129,44429,41927,40419,45441,42457,42327
245,신답,하차,567734,47630,41319,49291,49324,50224,46839,49013,45235,43820,50262,47231,47546
246,신설동(2),승차,1434034,127607,111631,131185,125134,123835,116004,117403,108794,102261,119097,122040,129043
