역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
150,서울역(1),승차,20948855,1743865,1562398,1775452,1782515,1822907,1688385,1741978,1734927,1641596,1837980,1791791,1825061
150,서울역(1),하차,19847731,1620265,1464282,1670612,1690609,1740243,1614307,1660331,1649102,1563738,1751034,1704503,1718705
151,시청(1),승차,9523151,782060,640734,791551,815888,824692,754209,782444,788006,725843,914453,835386,867885
151,시청(1),하차,9679691,780050,634707,790171,819320,842064,772867,803624,804860,737623,961425,856463,876517
152,종각,승차,16064978,1406723,1169723,1363922,1349279,1384409,1251023,1375099,1333026,1197762,1423904,1338360,1471748
152,종각,하차,15389667,1333396,1106336,1286482,1285338,1319989,1207019,1341710,1292367,1156559,1365392,1291393,1403686
153,종로3가(1),승차,12588647,1098796,935466,1085127,1053355,1115802,1024958,1072728,1019735,952731,1104427,1029071,1096451
153,종로3가(1),하차,11849907,1045081,887709,1021692,986034,1038459,964350,1020137,967734,891036,1024701,966302,1036672
154,종로5가,승차,9870614,850612,725584,864901,849988,872246,788147,806410,784547,745353,876801,835194,870831
154,종로5가,하차,9911794,850766,726716,868535,853263,876850,795394,811215,786573,747962,877966,838729,877825
155,동대문(1),승차,5471810,445149,405699,485492,473944,492920,456262,447576,430342,437553,475074,449466,472333
155,동대문(1),하차,6041117,484275,450740,540614,520740,546457,502898,495839,476699,483101,525622,491960,522172
156,신설동(1),승차,5881924,490338,418572,515402,510521,521571,479401,499833,469055,461163,516421,497775,501872
156,신설동(1),하차,5736287,478113,408748,505765,498912,507105,467920,491063,458416,448310,502864,483990,485081
157,제기동,승차,7461981,670993,522887,640594,645655,654171,613337,616788,604139,600628,656722,616804,619263
157,제기동,하차,7617076,691979,531821,650496,657686,665288,626400,627721,616452,616384,671840,629964,631045
158,청량리,승차,9305528,818464,698002,831547,800161,819413,757575,752762,745398,740251,799071,766183,776701
158,청량리,하차,9604014,844601,724189,860619,825104,844996,780896,772944,769244,761866,826717,793302,799536
159,동묘앞(1),승차,4070884,324614,312833,373057,352238,379263,344322,312986,313463,321164,366327,337844,332773
159,동묘앞(1),하차,4304305,340368,337617,400187,373291,403296,362984,327355,326898,337827,388356,356675,349451
201,시청(2),승차,9364802,770682,631024,777036,818603,810947,750949,820939,783030,712435,850909,810197,828051
201,시청(2),하차,8886960,738954,599469,737563,790825,782958,715699,784982,735451,667170,804950,762900,766039
202,을지로입구,승차,18540723,1539251,1290447,1561144,1567385,1584638,1488561,1587863,1558839,1451922,1636410,1587222,1687041
202,을지로입구,하차,18396795,1529929,1272569,1542747,1558641,1579118,1480583,1590785,1548602,1444508,1608837,1575580,1664896
203,을지로3가(2),승차,8417479,703150,575592,698998,712752,730446,680760,739447,700984,654460,752511,727745,740634
203,을지로3가(2),하차,8360996,694817,569729,694498,706058,726853,677194,745208,700995,649481,740428,717207,738528
204,을지로4가(2),승차,4580162,379456,310225,378333,374437,389267,365989,392355,379057,353804,426738,411107,419394
